,Query,URL,score,Ranking,QL_rank,DCG,NDCG
150,Bill Simmons Roger Goodell,https://grantland.com/the-triangle/roger-goodell-need-to-step-down/,-14.813836988059089,2.0,0,2.0,0.5
144,Bill Simmons Roger Goodell,https://www.si.com/nfl/2014/09/25/espn-bill-simmons-roger-goodell-suspension,-14.827941594240631,3.0,1,5.0,0.625
151,Bill Simmons Roger Goodell,http://www.slate.com/articles/sports/sports_nut/2014/09/bill_simmons_suspended_yes_he_called_roger_goodell_a_liar_but_here_s_the.html,-15.901480245356625,4.0,2,7.52371901428583,0.7149296749630493
145,Bill Simmons Roger Goodell,https://www.npr.org/2014/09/25/351529416/espn-suspends-bill-simmons-for-roger-goodell-comments,-15.91520031009909,4.0,3,9.523719014285831,0.7604545425701508
160,Bill Simmons Roger Goodell,https://www.cbssports.com/nfl/news/espn-suspends-bill-simmons-for-calling-roger-goodell-a-liar/,-17.033945859228897,4.0,4,11.246425246579403,0.7894208583503917
152,Bill Simmons Roger Goodell,https://bleacherreport.com/articles/2210190-espn-suspends-bill-simmons-for-comments-made-about-roger-goodell,-17.386166452818248,4.0,5,12.793836475517569,0.8100524844200853
143,Bill Simmons Roger Goodell,https://bleacherreport.com/articles/2210190-espn-suspends-bill-simmons-for-comments-made-about-roger-goodel,-17.386166452818248,4.0,6,14.218665223949658,0.8257704670494864
157,Bill Simmons Roger Goodell,https://www.indystar.com/story/sports/nfl/2014/09/25/espn-suspends-bill-simmons-over-roger-goodell-rant/16196641/,-17.99642597357243,4.0,7,15.551998557282992,0.8382923548243657
146,Bill Simmons Roger Goodell,https://www.vanityfair.com/hollywood/2016/06/bill-simmons-espn-hbo,-18.128103797547627,3.0,8,16.49839318764018,0.8326693940167886
148,Bill Simmons Roger Goodell,https://awfulannouncing.com/2015/bill-simmons-comes-out-swinging-at-espn-roger-goodell-in-new-podcast.html,-18.340197512675253,4.0,9,17.702513170296104,0.8422557645954888
147,Bill Simmons Roger Goodell,https://www.hollywoodreporter.com/news/6-times-bill-simmons-pissed-794527,-18.408405762701783,1.0,10,17.99157799661399,0.811373023149521
149,Bill Simmons Roger Goodell,https://www.sbnation.com/nfl/2014/9/24/6841451/bill-simmons-espn-suspension-roger-goodel,-18.522519069469205,4.0,11,19.10734977921851,0.8303548224157333
158,Bill Simmons Roger Goodell,https://www.thedailybeast.com/no-room-for-bill-simmons-in-the-espn-machine,-18.707922292800568,4.0,12,20.18830239692779,0.847472432533456
155,Bill Simmons Roger Goodell,https://www.complex.com/sports/2014/09/espn-bill-simmons-blasts-roger-goodell-audio,-19.295708957702686,4.0,13,21.238900537076564,0.8630286141986294
142,Bill Simmons Roger Goodell,https://digg.com/video/bill-simmons-roger-goodell-comments-that-got-him-suspended,-20.325328374883846,1.0,14,21.494858561886378,0.8556310026247846
156,Bill Simmons Roger Goodell,https://www.thebiglead.com/posts/disney-espn-could-never-get-over-bill-simmons-calling-roger-goodell-a-liar-01dmarvcskfp,-20.548471926198054,0.0,15,21.494858561886378,0.8472000259157385
159,Bill Simmons Roger Goodell,https://twitter.com/billsimmons/status/557773722485268480?lang=en,-20.787363834480402,0.0,16,21.494858561886378,0.8391087723308683
161,Bill Simmons Roger Goodell,https://wjla.com/sports/sports-talk/bill-simmons-suspended-by-espn-over-roger-goodell-comments-107500,-23.949669307860212,4.0,17,22.454108428158904,0.8765556331850134
153,Bill Simmons Roger Goodell,https://www.washingtonpost.com/,-25.3359636689801,0.0,18,22.454108428158904,0.8765556331850134
154,Bill Simmons Roger Goodell,https://www.huffpost.com/entry/bill-simmons-roger-goodell-grantland-podcast_n_563b8924e4b0307f2cac5ae5,-26.029110849540047,3.0,19,23.14824306763818,0.903653018519689
