,Query,URL,score,Ranking,QL_rank,DCG
422,Elon musk news,https://en.wikipedia.org/wiki/Elon_Musk ,-4.452677713966367,2.0,0,2.0
420,Elon musk news,https://www.npr.org/tags/154533231/elon-musk,-10.232311967304412,4.0,1,6.0
425,Elon musk news,https://news.sky.com/topic/elon-musk-6730,-10.238986074392106,3.0,2,7.892789260714372
430,Elon musk news,https://www.businesstimes.com.sg/keywords/elon-musk,-10.570004460330853,3.0,3,9.392789260714373
431,Elon musk news,https://www.foxbusiness.com/category/elon-musk,-11.2843538485414,2.0,4,10.254142376861159
417,Elon musk news,https://twitter.com/elonmusk?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor ,-11.462873119385616,4.0,5,11.801553605799326
432,Elon musk news,https://www.foxnews.com/category/person/elon-musk,-11.835670833662128,2.0,6,12.51396798001537
428,Elon musk news,https://www.thesun.co.uk/who/elon-musk/ ,-11.949330152134651,3.0,7,13.51396798001537
424,Elon musk news,https://globalnews.ca/tag/elon-musk/ ,-12.33644612157462,4.0,8,14.775827487158285
419,Elon musk news,https://spacenews.com/tag/elon-musk/ ,-12.719438373830723,3.0,9,15.678917474150229
426,Elon musk news,https://www.dailynews.com/tag/elon-musk/ ,-13.299256869083667,3.0,10,16.546111953103892
423,Elon musk news,https://www.mercurynews.com/tag/elon-musk/ ,-13.453407548910926,3.0,11,17.382940790057283
415,Elon musk news,https://www.theguardian.com/commentisfree/2019/nov/26/what-the-chaotic-launch-of-teslas-cybertruck-tells-us-about-elon-musk,-14.000372219292789,4.0,12,18.463893407766562
414,Elon musk news,https://www.marketwatch.com/story/elon-musk-doesnt-back-down-after-ford-challenges-tesla-to-apples-to-apples-tug-of-war-rematch-2019-11-26 ,-15.245167018138979,3.0,13,19.251842012878143
429,Elon musk news,https://www.cbsnews.com/video/elon-musk-shows-off-massive-starship-spacecraft-prototype/,-16.12063575549288,0.0,14,19.251842012878143
413,Elon musk news,https://www.cnn.com/2019/11/25/cars/elon-musk-tesla-cybertruck-window-glass-broke/index.html,-17.036926487367033,4.0,15,20.251842012878143
416,Elon musk news,https://www.cnbc.com/2019/11/25/elon-musk-tweets-on-cybertruck-orders-say-little-about-actual-sales.html ,-17.912395224720935,2.0,16,20.741143097114595
421,Elon musk news,https://www.entrepreneur.com/topic/elon-musk ,-19.521833137155035,4.0,17,21.70039296338712
427,Elon musk news,https://www.mirror.co.uk/all-about/elon-musk ,-19.521833137155035,2.0,18,22.171210790120398
418,Elon musk news,https://www.independent.co.uk/topic/elon-musk ,-19.521833137155035,4.0,19,23.096723642759436
