,Query,URL,score,Ranking,QL_rank,DCG
549,Elon musk speech,https://www.youtube.com/watch?v=wD3pflBggMQ,-11.970120921803725,3.0,0,3.0
553,Elon musk speech,https://www.fearlessmotivation.com/2017/08/31/elon-musk-greatest-motivational-speeches/,-13.044860774265352,4.0,1,7.0
547,Elon musk speech,https://www.autoblog.com/2015/12/05/full-text-of-elon-musks-paris-cop21-speech/,-13.13495381779239,4.0,2,9.523719014285831
542,Elon musk speech,https://www.wired.com/story/elon-musk-tesla-twitter-sec-settlement/,-13.635729105704879,1.0,3,10.023719014285831
556,Elon musk speech,https://www.investopedia.com/articles/personal-finance/061015/how-elon-musk-became-elon-musk.asp,-13.722740482694508,2.0,4,10.885072130432617
554,Elon musk speech,https://www.cnn.com/2019/03/11/tech/elon-musk-deadline-sec/index.html,-13.753512141361263,1.0,5,11.271924937667158
540,Elon musk speech,https://www.inc.com/minda-zetlin/elon-musk-fails-public-speaking-101-heres-why-we-hang-on-every-word-what-you-can-learn-from-him.html,-13.769260498329402,3.0,6,12.340546498991225
551,Elon musk speech,https://www.cnbc.com/2019/07/18/neuralink-exec-be-careful-telling-elon-musk-something-is-impossible.html,-13.79173335418146,3.0,7,13.340546498991225
546,Elon musk speech,https://www.barrons.com/articles/tesla-ceo-elon-musk-sec-response-51552397330,-13.85887265701909,1.0,8,13.656011375776954
552,Elon musk speech,https://www.npr.org/2019/09/29/765526405/elon-musk-unveils-spacexs-new-starship-designed-to-fly-to-the-moon-mars-and-beyo,-14.580190714545731,3.0,9,14.559101362768898
557,Elon musk speech,https://techcrunch.com/2018/12/27/elon-musk-argues-comments-on-twitter-are-protected-speech-in-request-to-dismiss-pedo-guy-lawsuit/,-14.759659202357277,1.0,10,14.848166189086786
541,Elon musk speech,https://singjupost.com/elon-musks-commencement-speech-at-caltech-full-transcript/,-15.427488574932934,4.0,11,15.963937971691305
550,Elon musk speech,https://www.cnbc.com/2018/03/16/elon-musk-on-inspiration-and-success.html,-15.737643503236773,3.0,12,16.774652434973262
539,Elon musk speech,https://www.ted.com/speakers/elon_musk,-16.189628626979832,4.0,13,17.825250575122038
543,Elon musk speech,https://www.businessinsider.com/elon-musk-mars-iac-2017-transcript-slides-2017-10,-16.34377930680709,4.0,14,18.8490826743613
544,Elon musk speech,http://commencement.caltech.edu/archive/speakers/2012_address,-17.4423915954752,4.0,15,19.8490826743613
555,Elon musk speech,https://podcastnotes.org/2019/08/27/elon-commencement-speech/,-17.73007366792698,3.0,16,20.583034300715976
545,Elon musk speech,https://gist.github.com/johnz133/7bf10e77d8b994bae743,-18.135538776035144,4.0,17,21.5422841669885
548,Elon musk speech,https://mycourses.aalto.fi/mod/resource/view.php?id=160915,-19.521833137155035,1.0,18,21.77769308035514
