,Query,URL,score,Ranking,QL_rank,DCG
203,Facts about Sushruta,https://haribhakt.com/sushruta-worlds-first-plastic-surgeon-was-from-india/ ,-11.37396600723109,3.0,0,3.0
211,Facts about Sushruta,https://www.amrutam.co.in/6-interesting-amrutam-things-about-sushruta/ ,-12.249434744584988,4.0,1,7.0
214,Facts about Sushruta,https://www.indiatoday.in/education-today/gk-current-affairs/story/sushruta-works-indian-physician-medicine-plastic-surgery-rhinoplasty-nose-job-1559599-2019-07-01,-13.299256869083665,2.0,2,8.261859507142916
219,Facts about Sushruta,http://www.jcor.in/article.asp?issn=2320-3897;year=2018;volume=6;issue=3;spage=117;epage=120;aulast=Shah,-13.741089621362706,2.0,3,9.261859507142916
201,Facts about Sushruta,https://www.ancient.eu/sushruta/,-13.778829949345553,2.0,4,10.123212623289701
218,Facts about Sushruta,https://easyayurveda.com/2016/08/21/acharya-sushruta-work-samhita-legacy/,-13.838253369816353,3.0,5,11.283771044993326
216,Facts about Sushruta,https://www.speakingtree.in/allslides/sushruta-first-indian-surgeon-historical-facts ,-14.04956246348356,4.0,6,12.708599793425416
208,Facts about Sushruta,https://www.missedinhistory.com/podcasts/sushruta-father-of-plastic-surgery.htm ,-15.273337895105676,1.0,7,13.04193312675875
213,Facts about Sushruta,https://www.ancient-origins.net/artifacts-ancient-technology/sushruta-samhita-and-plastic-surgery-ancient-india-020148,-15.737643503236773,2.0,8,13.672862880330207
215,Facts about Sushruta,https://www.toppr.com/bytes/sushruta-worlds-first-plastic-surgeon/ ,-15.858271491025388,1.0,9,13.973892875994189
217,Facts about Sushruta,http://indiasinterestingfacts.blogspot.com/2014/04/sushruta-is-father-of-surgery.html ,-16.056097234355306,2.0,10,14.552022528629964
205,Facts about Sushruta,https://en.wikipedia.org/wiki/Sushruta,-16.120635755492877,1.0,11,14.830965474281093
210,Facts about Sushruta,https://journals.lww.com/annalsplasticsurgery/FullText/2015/01000/Correcting_Factual_Errors_in__Sushruta___Father_of.30.aspx ,-17.324608559818813,0.0,12,14.830965474281093
202,Facts about Sushruta,https://www.britannica.com/biography/Sushruta ,-18.423220848486924,1.0,13,15.093615009318286
204,Facts about Sushruta,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2845369/ ,-18.828685956595088,2.0,14,15.605531058937917
206,Facts about Sushruta,https://peoplepill.com/people/sushruta/ ,-19.521833137155035,2.0,15,16.105531058937917
207,Facts about Sushruta,http://home.iitk.ac.in/~hcverma/Article/Ancient%20India%20Medical%20Science.pdf ,-19.521833137155035,2.0,16,16.59483214317437
209,Facts about Sushruta,http://www.iaimhealthcare.org/acharya-sushruta-father-of-surgery/ ,-19.521833137155035,3.0,17,17.314269542878762
212,Facts about Sushruta,https://hekint.org/2017/01/22/sushruta-the-ancient-indian-surgeon/ ,-19.521833137155035,1.0,18,17.5496784562454
220,Facts about Sushruta,https://blog.oneworldayurveda.com/the-sushruta-samhita/ ,-19.521833137155035,2.0,19,18.012434882564918
221,Facts about Sushruta,https://pdfs.semanticscholar.org/636b/7cba18ce404dd5cbcdee16db24d47a5f7d3e.pdf,-19.521833137155035,2.0,20,18.467775379958823
