,Query,URL,score,Ranking,QL_rank,DCG
172,JFK space race,https://www.jfklibrary.org/learn/about-jfk/jfk-in-history/space-program,-11.638763785849282,0.0,0,0.0
166,JFK space race,https://www.space.com/jfk-apollo-moonshot-nasa-readiness.html,-12.706193147080704,1.0,1,1.0
167,JFK space race,https://jfk.blogs.archives.gov/2019/06/12/representation-in-the-space-race/,-13.165725476459144,1.0,2,1.6309297535714575
179,JFK space race,https://www.houstonchronicle.com/local/space/mission-moon/article/JFK-s-1962-moon-speech-though-deliberate-13960428.php,-14.184295057453717,4.0,3,3.6309297535714578
171,JFK space race,https://www.aaas.org/news/john-f-kennedy-and-race-moon-looking-back-fifty-years,-14.484880534741405,0.0,4,3.6309297535714578
170,JFK space race,https://spacecenter.org/this-day-in-history-jfk-delivers-iconic-we-choose-to-go-to-the-moon-speech/,-14.552019837579035,3.0,5,4.791488175275083
177,JFK space race,https://news.rice.edu/2019/09/10/jfks-space-legacy-future-moonshots-in-spotlight-at-sept-12-rice-space-institute-event/,-14.552019837579035,0.0,6,4.791488175275083
169,JFK space race,https://www.theatlantic.com/technology/archive/2012/09/moondoggle-the-forgotten-opposition-to-the-apollo-program/262254/,-14.654298686699452,2.0,7,5.45815484194175
164,JFK space race,https://www.usatoday.com/story/opinion/2013/11/22/kennedy-apollo-program-space-column/3666047/,-14.82135277136262,4.0,8,6.720014349084664
176,JFK space race,https://home.bt.com/news/on-this-day/may-25-1961-kennedy-ramps-up-the-space-race-by-pledging-to-put-a-man-on-the-moon-11363982640825,-14.896860323870765,3.0,9,7.623104336076608
165,JFK space race,https://airandspace.si.edu/exhibitions/apollo-to-the-moon/online/racing-to-space/moon-decision.cfm,-15.02202346682477,4.0,10,8.779363641348159
173,JFK space race,https://www.history.com/this-day-in-history/jfk-asks-congress-to-support-the-space-program,-15.044496322676828,0.0,11,8.779363641348159
162,JFK space race,https://history.nasa.gov/moondec.html,-16.34377930680709,0.0,12,8.779363641348159
180,JFK space race,https://www.msnbc.com/morning-joe/watch/how-jfk-s-great-space-race-was-accomplished-1470756931548,-17.324608559818813,0.0,13,8.779363641348159
174,JFK space race,https://www.commonlit.org/en/texts/jfk-s-race-to-space-speech,-17.73007366792698,2.0,14,9.291279690967789
175,JFK space race,https://www.rferl.org/a/kennedy-moon-speech-rice-university-50th-anniversary/24706222.html,-19.521833137155035,4.0,15,10.291279690967789
163,JFK space race,https://www.nasa.gov/feature/john-f-kennedy-and-nasa,-19.521833137155035,3.0,16,11.025231317322467
178,JFK space race,https://phys.org/news/2011-05-jfk-speech-space-exploration-heights.html,-19.521833137155035,3.0,17,11.744668717026862
168,JFK space race,https://www.jstor.org/stable/27551902?seq=1,-19.521833137155035,0.0,18,11.744668717026862
