,Query,URL,score,Ranking,QL_rank,DCG
326,Jeff Bezos portrayed by top business magazines like Forbes,https://www.theatlantic.com/magazine/archive/2019/11/what-jeff-bezos-wants/598363/ ,-38.16850014655054,2.0,0,2.0
327,Jeff Bezos portrayed by top business magazines like Forbes,https://www.newyorker.com/magazine/2019/10/21/is-amazon-unstoppable,-38.567296924447966,1.0,1,3.0
330,Jeff Bezos portrayed by top business magazines like Forbes,https://www.forbes.com/forbes/2012/0423/ceo-compensation-12-amazon-technology-jeff-bezos-gets-it.html#175549715227,-39.61080415630651,4.0,2,5.52371901428583
323,Jeff Bezos portrayed by top business magazines like Forbes,https://www.forbes.com/sites/nathanfurrjeffdyer/2019/09/03/leading-like-jeff-bezos-or-elon-musk-lessons-from-their-contrasting-styles/,-43.45278803557489,4.0,3,7.52371901428583
325,Jeff Bezos portrayed by top business magazines like Forbes,https://www.businessinsider.com/forbes-rich-americans-list-1982-versus-today-wealth-trends-2019-11,-43.95356332348738,4.0,4,9.246425246579403
332,Jeff Bezos portrayed by top business magazines like Forbes,https://www.forbes.com/sites/georgeanders/2012/11/16/what-fortune-didnt-tell-you-in-its-jeff-bezos-cover-story/#4855dd5f42a4,-45.37899759294454,2.0,5,10.020130861048486
335,Jeff Bezos portrayed by top business magazines like Forbes,https://www.nasdaq.com/press-release/most-influential-entrepreneurs-2019-compared-amazons-jeff-bezos-2019-04-21,-45.938613380879964,2.0,6,10.73254523526453
331,Jeff Bezos portrayed by top business magazines like Forbes,https://www.forbes.com/sites/georgeanders/2012/04/04/bezos-tips/#4b586152fce4 ,-46.668128205610785,1.0,7,11.065878568597864
334,Jeff Bezos portrayed by top business magazines like Forbes,https://www.theceomagazine.com/business/management-leadership/successful-minds-innovators-2019/,-47.48643852912474,2.0,8,11.696808322169321
337,Jeff Bezos portrayed by top business magazines like Forbes,https://www.smartcompany.com.au/finance/forbes-billionaires-jeff-bezos-kylie-jenner/,-47.775974170225844,4.0,9,12.900928304825246
322,Jeff Bezos portrayed by top business magazines like Forbes,https://www.forbes.com/profile/jeff-bezos/,-49.52381440551906,4.0,10,14.057187610096797
338,Jeff Bezos portrayed by top business magazines like Forbes,https://www.vox.com/the-goods/2019/4/5/18296734/jeff-bezos-divorce-mackenzie-settlement-amazon,-49.906806657775164,2.0,11,14.615073501399056
324,Jeff Bezos portrayed by top business magazines like Forbes,https://footwearnews.com/2019/influencers/news/forbes-top-100-most-innovative-leaders-one-woman-1202830351/ ,-50.2634816017139,3.0,12,15.425787964681016
321,Jeff Bezos portrayed by top business magazines like Forbes,https://www.forbes.com/sites/georgeanders/2012/04/04/bezos-tips/ ,-53.11017829610741,0.0,13,15.425787964681016
320,Jeff Bezos portrayed by top business magazines like Forbes,https://www.forbes.com/forbes/2012/0423/ceo-compensation-12-amazon-technology-jeff-bezos-gets-it.html ,-53.72921750451363,2.0,14,15.937704014300646
328,Jeff Bezos portrayed by top business magazines like Forbes,https://www.scmp.com/magazines/style/people-events/article/2163482/day-life-rich-man-jeff-bezos-who-always-offers-do,-54.00115121999727,3.0,15,16.687704014300646
336,Jeff Bezos portrayed by top business magazines like Forbes,https://fortune.com/longform/amazon-jeff-bezos-prime/,-57.17920505034521,4.0,16,17.66630618277355
333,Jeff Bezos portrayed by top business magazines like Forbes,"https://books.google.com/books?id=CE6XDwAAQBAJ&pg=PT56&lpg=PT56&dq=Jeff+Bezos+portrayed+by+top+business+magazines+like+Forbes&source=bl&ots=9unUMTIlVr&sig=ACfU3U17TJmxJSlsk_a1O0NMWfQ2fPEmpg&hl=en&sa=X&ved=2ahUKEwj8q6LOxInmAhUun-AKHYwKAzgQ6AEwE3oECAsQAQ#v=onepage&q=Jeff%20Bezos%20portrayed%20by%20top%20business%20magazines%20like%20Forbes&f=false, https://www.dw.com/en/jeff-bezos-amazon-ceo-knocks-microsoft-founder-bill-gates-off-forbes-list-top-spot/a-42855021",-58.565499411465105,0.0,17,17.66630618277355
329,Jeff Bezos portrayed by top business magazines like Forbes,https://www.scmp.com/magazines/style/people-events/article/2189551/who-joins-jeff-bezos-one-worlds-7-richest-retail ,-58.565499411465105,4.0,18,18.6079418362401
