,Query,URL,score,Ranking,QL_rank,DCG,NDCG
356,Kim Jong-un relationship with China,https://www.ncnk.org/resources/briefing-papers/all-briefing-papers/china-north-korea-relations ,-15.794857610318363,3.0,0,3.0,0.75
340,Kim Jong-un relationship with China,https://en.wikipedia.org/wiki/China%E2%80%93North_Korea_relations,-18.969647102913967,2.0,1,5.0,0.625
350,Kim Jong-un relationship with China,https://www.washingtonpost.com/news/worldviews/wp/2018/06/21/yes-kim-jong-un-met-president-trump-but-china-is-still-north-koreas-most-important-ally/,-22.247638608598283,3.0,2,6.892789260714372,0.6549765583210163
341,Kim Jong-un relationship with China,https://apnews.com/98cd609254bf4ccca10d8a725174ca5a,-22.549709418502164,4.0,3,8.892789260714373,0.7100757570950251
354,Kim Jong-un relationship with China,https://www.brookings.edu/blog/order-from-chaos/2019/06/24/mr-xi-goes-to-pyongyang/,-23.11740932483755,2.0,4,9.754142376861159,0.684672976415831
349,Kim Jong-un relationship with China,https://www.nytimes.com/2019/06/21/world/asia/xi-jinping-north-korea-visit.html ,-23.31362566995032,2.0,5,10.527847991330242,0.6833166191383052
352,Kim Jong-un relationship with China,https://www.bbc.com/news/world-asia-48672306,-24.06838561469959,2.0,6,11.240262365546286,0.6822366892687645
357,Kim Jong-un relationship with China,https://www.npr.org/2019/06/17/733343002/chinese-president-xi-jinping-to-visit-north-korea-this-week ,-25.289307977339305,2.0,7,11.906929032212952,0.6813457317083522
342,Kim Jong-un relationship with China,https://www.theguardian.com/world/2019/oct/06/china-and-north-korea-hail-immortal-and-invincible-friendship,-26.60149436630547,4.0,8,13.168788539355868,0.7148403343534387
358,Kim Jong-un relationship with China,https://www.inkstonenews.com/politics/kim-jong-un-travels-china-second-trump-summit/article/2181198,-29.64601680402889,2.0,9,13.77084853068383,0.7238648657714574
351,Kim Jong-un relationship with China,https://www.wsj.com/articles/chinas-xi-north-koreas-kim-meet-both-seeking-leverage-with-the-u-s-11561027366 ,-31.150094200805164,2.0,10,14.348978183319606,0.7320089513696548
355,Kim Jong-un relationship with China,https://www.cnn.com/2019/06/20/asia/xi-kim-north-korea-china-intl-hnk/index.html ,-31.437776273256947,2.0,11,14.906864074621865,0.7394250161459572
348,Kim Jong-un relationship with China,https://economictimes.indiatimes.com/news/international/world-news/xi-jinping-and-kim-jong-un-hail-immortal-china-north-korea-relationship/articleshow/71462267.cms ,-32.53638856192506,4.0,12,15.987816692331144,0.7723377096841437
347,Kim Jong-un relationship with China,https://www.channelnewsasia.com/news/commentary/china-north-korea-xi-jinping-visit-kim-jong-un-dynamics-11659096 ,-32.53638856192506,2.0,13,16.51311576240553,0.7779719144407095
346,Kim Jong-un relationship with China,https://www.washingtonpost.com/world/asia_pacific/chinas-xi-to-visit-north-korea-as-both-countries-lock-horns-with-united-states/2019/06/17/4777087c-90f5-11e9-b72d-d56510fa753e_story.html ,-32.53638856192506,2.0,14,17.025031812025162,0.7832005904765472
353,Kim Jong-un relationship with China,https://www.france24.com/en/20190620-north-korea-china-kim-jong-un-xi-jinping-pyongyang-diplomacy,-32.53638856192506,2.0,15,17.525031812025162,0.7880751673898105
345,Kim Jong-un relationship with China,https://www.scmp.com/news/asia/south-asia/article/3034310/north-koreas-kim-jong-un-and-trump-still-have-special ,-32.53638856192506,4.0,16,18.503633980498066,0.8141672324555426
344,Kim Jong-un relationship with China,https://www.abc.net.au/news/2019-03-02/china-and-north-koreas-historic-and-strategic-relationship/10853502 ,-32.53638856192506,3.0,17,19.22307138020246,0.8283416991720091
343,Kim Jong-un relationship with China,https://www.cato.org/publications/commentary/chinas-xi-jinping-north-koreas-kim-jong-un-frenemies-best ,-32.53638856192506,3.0,18,19.929298120302374,0.8416973557669448
339,Kim Jong-un relationship with China,https://www.cfr.org/backgrounder/china-north-korea-relationship,-32.53638856192506,4.0,19,20.85481097294141,0.8639014179734654
