,Query,URL,score,Ranking,QL_rank,DCG,NDCG
52,Mohammad Ali Sting like a bee,https://www.theysayiblog.com/2012/01/float-like-a-butterfly-sting-like-a-bee.html,-23.98945226413944,0.0,0,0.0,0.0
38,Mohammad Ali Sting like a bee,https://www.theguardian.com/sport/2016/jun/04/muhammad-ali-greatest-quotes-sting-butterfly-louisville-lip,-26.393215547173135,4.0,1,4.0,0.5
48,Mohammad Ali Sting like a bee,https://www.independent.ie/sport/other-sports/boxing/float-like-a-butterfly-sting-like-a-bee-some-of-muhammad-alis-best-quotes-34772170.html,-27.56533225410946,4.0,2,6.52371901428583,0.6199062332840657
39,Mohammad Ali Sting like a bee,https://abcnews.go.com/Sports/muhammad-alis-memorable-quotes-float-butterfly-sting-bee/story?id=39574573,-27.989923199953996,4.0,3,8.523719014285831,0.680606056760201
42,Mohammad Ali Sting like a bee,https://www.telegraph.co.uk/news/2016/06/06/thousands-of-bees-swarm-to-muhammad-ali-sting-like-a-bee-memoria/,-28.52607474855445,0.0,4,8.523719014285831,0.598305811230252
41,Mohammad Ali Sting like a bee,https://www.dallasnews.com/sports/other-sports/2016/06/04/float-like-a-butterfly-sting-like-a-bee-some-of-muhammad-ali-s-greatest-quotes/,-28.59785443094858,4.0,5,10.071130243223998,0.6376620562607138
43,Mohammad Ali Sting like a bee,https://wqad.com/2016/06/04/float-like-a-butterfly-sting-like-a-bee-best-quotes-from-muhammad-ali/,-28.81635760270629,4.0,6,11.495958991656087,0.6676451886448326
46,Mohammad Ali Sting like a bee,https://www.nbcsports.com/philadelphia/boxing/greatest-poet-look-muhammad-alis-verse,-29.86172537685559,4.0,7,12.82929232498942,0.6915315503812932
47,Mohammad Ali Sting like a bee,https://patch.com/florida/miami/float-butterfly-sting-bee-drive-along-legend-muhammad-ali,-30.369469334084165,0.0,8,12.82929232498942,0.6579666437910265
51,Mohammad Ali Sting like a bee,https://www.icanvas.com/canvas-print/float-like-a-butterfly-sting-bee-10021#1PC6-40x26,-30.715215207490708,0.0,9,12.82929232498942,0.6382588596765169
53,Mohammad Ali Sting like a bee,https://www.cnn.com/2016/06/04/sport/best-quotes-muhammad-ali/index.html,-31.548124330425814,4.0,10,13.985551630260971,0.6859186973735812
50,Mohammad Ali Sting like a bee,https://www.usatoday.com/story/sports/boxing/2016/06/03/muhammad-ali-best-quotes-boxing/85370850/,-31.71720066046975,4.0,11,15.10132341286549,0.7406415104540697
49,Mohammad Ali Sting like a bee,https://www.redbubble.com/people/fares-junior/works/31438502-float-like-a-butterfly-sting-like-a-bee-muhammad-ali-black?p=poster,-32.0589499541918,0.0,12,15.10132341286549,0.7406415104540697
45,Mohammad Ali Sting like a bee,https://www.urbandictionary.com/define.php?term=Float%20like%20a%20butterfly%2C%20sting%20like%20a%20bee,-33.29109363548444,2.0,13,15.626622482939878,0.7664047025971209
40,Mohammad Ali Sting like a bee,https://www.independent.co.uk/news/people/muhammad-ali-dead-float-like-a-butterfly-sting-like-a-bee-and-the-boxing-champions-other-famous-a7065356.html,-39.04366627431007,3.0,14,16.394496557369322,0.8040649393045493
44,Mohammad Ali Sting like a bee,https://www.huffpost.com/entry/i-float-like-a-butterfly-_b_10294146,-39.04366627431007,1.0,15,16.644496557369322,0.8163261413562696
