,Query,URL,score,Ranking,QL_rank,DCG
125,President Obama Inauguration,https://www.aol.com/article/news/2017/01/19/president-barack-obamas-first-inauguration-speech-full-text/21657532/,-4.966888364679502,4.0,0,4.0
133,President Obama Inauguration,https://en.wikipedia.org/wiki/Second_inauguration_of_Barack_Obama,-6.415794282670575,2.0,1,6.0
126,President Obama Inauguration,https://www.npr.org/series/99286923/presidential-inauguration-of-barack-obama,-9.907829279017317,0.0,2,6.0
124,President Obama Inauguration,https://www.history.com/this-day-in-history/barack-obama-is-inaugurated,-12.015241357084193,2.0,3,7.0
139,President Obama Inauguration,https://www.nbcnewyork.com/news/national-international/NATL-The-Inauguration-of-President-Barack-Obama-187732891.html?tag=%22obama+inauguration%22,-12.074081857107128,0.0,4,7.0
129,President Obama Inauguration,https://www.reuters.com/article/us-usa-inauguration-events/factbox-timeline-for-obama-inauguration-events-idUSBRE90K06520130121,-12.78013244250298,0.0,5,7.0
135,President Obama Inauguration,https://www.usatoday.com/story/news/politics/2017/01/20/separate-visions-comparing-trump-obamas-inauguration-day-speeches/96839312/,-13.555686398031343,3.0,6,8.068621561324067
132,President Obama Inauguration,https://www.americamagazine.org/politics-society/2017/01/18/barack-obamas-first-inauguration-revisited,-13.85887265701909,4.0,7,9.4019548946574
123,President Obama Inauguration,https://obamawhitehouse.archives.gov/the-press-office/2013/01/21/inaugural-address-president-barack-obama,-13.912361341970076,1.0,8,9.71741977144313
134,President Obama Inauguration,https://apnews.com/389f03e40e874bbe9d1687925e517d05,-13.99240404964361,0.0,9,9.71741977144313
130,President Obama Inauguration,https://www.imdb.com/title/tt1356406/,-14.511197843058781,0.0,10,9.71741977144313
131,President Obama Inauguration,https://www.thecut.com/2019/08/barack-obama-aretha-franklin-inauguration-hat.html,-14.639031214568664,0.0,11,9.71741977144313
140,President Obama Inauguration,https://www.rollingstone.com/music/music-news/hear-president-obamas-inauguration-playlist-235537/,-14.685551230203556,0.0,12,9.71741977144313
128,President Obama Inauguration,https://www.nationalreview.com/news/middleman-funneled-donation-from-saudi-to-obama-inauguration-report/,-15.427488574932934,0.0,13,9.71741977144313
127,President Obama Inauguration,https://abcnews.go.com/Politics/2009-2017-comparing-trumps-obamas-inauguration-crowds/story?id=44927217,-15.938314198698924,0.0,14,9.71741977144313
136,President Obama Inauguration,http://mallhistory.org/items/show/377,-16.225996271150706,0.0,15,9.71741977144313
137,President Obama Inauguration,https://www.cnbc.com/2019/01/18/cnbcs-coverage-of-barack-obamas-inauguration---10-years-later.html,-16.225996271150706,4.0,16,10.696021939916033
138,President Obama Inauguration,https://newrepublic.com/minutes/139999/lot-people-attended-president-obamas-inauguration-2009,-16.813782936052824,0.0,17,10.696021939916033
141,President Obama Inauguration,https://www.bostonglobe.com/news/politics/2013/01/21/president-obama-remarks-his-second-inauguration/GrPgrXix2RNOnA6zfxuHkK/story.html,-16.813782936052824,4.0,18,11.637657593382587
