,Query,URL,score,Ranking,QL_rank,DCG
297,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.sfchronicle.com/business/article/The-H-1B-visa-in-the-age-of-Trump-A-golden-13015356.php,-52.38875133631549,2.0,0,2.0
289,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.ciodive.com/news/how-6-tech-companies-reacted-to-trumps-immigration-order/435001/,-54.31901108278864,2.0,1,4.0
290,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.cnbc.com/2016/11/23/analysts-think-trump-should-try-this-search-how-google-works.html,-55.051864808784984,2.0,2,5.2618595071429155
299,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.moneycontrol.com/news/business/companies/trump-amends-h1b-rules-entry-level-techies-to-be-hit-hardest-2252229.html,-56.873635356429084,2.0,3,6.2618595071429155
281,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.businessinsider.com/google-ceo-sundar-pichai-comments-on-immigration-2018-1,-57.31028900599325,4.0,4,7.984565739436488
287,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.business-standard.com/article/companies/h1b-reform-bill-seeks-to-expand-annual-quota-move-may-hurt-indian-it-firms-118012600992_1.html ,-59.00933907711704,2.0,5,8.75827135390557
285,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.nytimes.com/2017/04/23/world/asia/india-trump-america.html,-59.992838558684646,1.0,6,9.114478541013593
283,Sundar pichai's views on H-1B visa policy by the Trump Government,https://techcrunch.com/2017/01/28/google-ceo-sundar-pichai-fears-impact-of-trump-immigration-order-recalls-staff/,-60.23578473729504,4.0,7,10.447811874346927
296,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.vanityfair.com/news/2017/04/bad-for-the-us-silicon-valley-slams-trumps-work-visa-crackdown,-60.40008778858632,3.0,8,11.394206504704114
293,Sundar pichai's views on H-1B visa policy by the Trump Government,https://qz.com/india/1279732/h-1b-visa-rejects-return-to-india-leaving-their-american-dreams-behind/,-60.62323133990052,1.0,9,11.695236500368095
280,Sundar pichai's views on H-1B visa policy by the Trump Government,https://m.economictimes.com/nri/visa-and-immigration/trumps-new-disruptive-h-1b-visa-move-can-be-a-boon-for-india/articleshow/62365964.cms,-61.18309129826812,2.0,10,12.27336615300387
292,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.livemint.com/Politics/8guEQHASl8AscQVYS2M8mO/Why-Donald-Trumps-curbs-on-H1B-visas-are-good-for-Tim-Cook.html ,-68.80746611399533,1.0,11,12.552309098655
282,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.bloomberg.com/news/articles/2017-01-28/google-recalls-some-staff-to-u-s-after-trump-immigration-order,-69.78829536700707,3.0,12,13.36302356193696
295,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.latimes.com/business/technology/la-fi-tn-silicon-valley-immigration-20170128-story.html ,-70.48144254756701,3.0,13,14.15097216704854
284,Sundar pichai's views on H-1B visa policy by the Trump Government,https://economictimes.indiatimes.com/nri/visa-and-immigration/trumps-new-disruptive-h-1b-visa-move-can-be-a-boon-for-india/articleshow/62365964.cms ,-71.58005483623512,2.0,14,14.66288821666817
286,Sundar pichai's views on H-1B visa policy by the Trump Government,https://ejournals.bc.edu/index.php/elements/article/download/9606/8848/ ,-71.58005483623512,0.0,15,14.66288821666817
288,Sundar pichai's views on H-1B visa policy by the Trump Government,https://time.com/4728289/canada-welcomes-tech-companies-spooked-trump/ ,-71.58005483623512,0.0,16,14.66288821666817
291,Sundar pichai's views on H-1B visa policy by the Trump Government,https://knowledge.wharton.upenn.edu/article/how-curtailing-temporary-h-1b-visas-could-benefit-indian-professionals/,-71.58005483623512,1.0,17,14.902700683236302
294,Sundar pichai's views on H-1B visa policy by the Trump Government,https://www.independent.co.uk/news/world/americas/donald-trump-muslim-ban-google-recalls-staff-immigration-facebook-mark-zuckerberg-tech-silicon-a7550876.html,-71.58005483623512,4.0,18,15.844336336702856
298,Sundar pichai's views on H-1B visa policy by the Trump Government,https://insights.dice.com/2018/02/26/h-1b-policy-limits-abuse-specialty-occupation/ ,-71.58005483623512,1.0,19,16.075714549862614
