,Query,URL,score,Ranking,QL_rank,DCG
304,Warren Buffet views and media interactions in regard to start-ups,https://en.wikipedia.org/wiki/Warren_Buffett ,-38.1599822612484,0.0,0,0.0
300,Warren Buffet views and media interactions in regard to start-ups,https://press.farm/warren-buffett-definitive-guide-pr-marketing-founders-entrepreneurs/,-44.25114396673686,2.0,1,2.0
315,Warren Buffet views and media interactions in regard to start-ups,https://betterthisworld.com/quotes/9-warren-buffett-quotes-for-start-ups/,-45.58418013775506,4.0,2,4.52371901428583
302,Warren Buffet views and media interactions in regard to start-ups,https://postcron.com/en/blog/lessons-from-warren-buffett-to-achieve-success-in-digital-marketing/,-46.04245850121186,2.0,3,5.52371901428583
316,Warren Buffet views and media interactions in regard to start-ups,https://starbiz.co/warren-buffett-how-to-stay-out-of-debt-forever/,-47.202817344326995,1.0,4,5.954395572359223
311,Warren Buffet views and media interactions in regard to start-ups,https://medium.com/accelerated-intelligence/warren-buffett-really-successful-people-say-no-to-almost-everything-ab78832ffebc,-47.34701408691504,0.0,5,5.954395572359223
318,Warren Buffet views and media interactions in regard to start-ups,https://www.fool.com/investing/2019/11/17/3-stocks-warren-buffett-would-love.aspx,-49.58310214998396,1.0,6,6.310602759467245
306,Warren Buffet views and media interactions in regard to start-ups,https://www.inc.com/scott-mautz/warren-buffett-bill-gates-just-worked-a-dairy-queen-shift-together-a-lesson-in-thinking-different-followed.html,-54.48619272660754,2.0,7,6.977269426133912
313,Warren Buffet views and media interactions in regard to start-ups,https://www.gsb.stanford.edu/insights/what-it-be-owned-warren-buffett,-54.62702342171368,1.0,8,7.292734302919641
309,Warren Buffet views and media interactions in regard to start-ups,https://www.gsb.stanford.edu/insights/what-it-be-owned-warren-buffett ,-54.62702342171368,1.0,9,7.593764298583622
319,Warren Buffet views and media interactions in regard to start-ups,https://www.youtube.com/watch?v=uddpWu5-1Uk,-56.49882559861526,2.0,10,8.171893951219397
312,Warren Buffet views and media interactions in regard to start-ups,https://economictimes.indiatimes.com/markets/stocks/news/buffett-speak-the-right-culture-self-selects-its-managers/articleshow/58551280.cms?from=mdr ,-57.10723155072013,2.0,11,8.729779842521657
314,Warren Buffet views and media interactions in regard to start-ups,https://economictimes.indiatimes.com/markets/stocks/news/two-buffet-disciples-tell-you-how-to-make-it-big-on-d-street/articleshow/66649973.cms?from=mdr ,-57.452072037011845,3.0,12,9.540494305803616
307,Warren Buffet views and media interactions in regard to start-ups,https://m.economictimes.com/markets/stocks/news/two-buffet-disciples-tell-you-how-to-make-it-big-on-d-street/articleshow/66649973.cms,-57.452072037011845,3.0,13,10.328442910915197
310,Warren Buffet views and media interactions in regard to start-ups,https://www.cnbc.com/2017/05/16/why-warren-buffett-is-betting-on-this-software-start-up.html ,-57.77975944407733,4.0,14,11.35227501015446
308,Warren Buffet views and media interactions in regard to start-ups,https://www.wsj.com/articles/excessive-self-promotion-justin-sun-apologizes-after-postponing-charity-lunch-with-warren-buffett-11564043243 ,-60.28528538106807,1.0,15,11.60227501015446
303,Warren Buffet views and media interactions in regard to start-ups,https://www.businessinsider.com/howard-marks-warren-buffett-quote-on-media-fake-news-economists-2017,-62.58787047406212,1.0,16,11.846925552272685
305,Warren Buffet views and media interactions in regard to start-ups,http://buffettfaq.com/ ,-63.97416483518201,0.0,17,11.846925552272685
301,Warren Buffet views and media interactions in regard to start-ups,https://andrewchen.co/warren-buffetts-bio-the-snowball-and-lessons-for-startups/ ,-65.07277712385012,3.0,18,12.5531522923726
317,Warren Buffet views and media interactions in regard to start-ups,https://www.theguardian.com/sustainable-business/2016/mar/07/warren-buffett-climate-change-insurance-policy-berkshire-hathaway-shareholder-letter ,-65.07277712385012,0.0,19,12.5531522923726
