,Query,URL,score,Ranking,QL_rank,DCG
278,World Media views on Imran Khan,https://www.vanityfair.com/news/2019/09/the-once-and-future-imran-khan,-23.105781129980926,4.0,0,4.0
277,World Media views on Imran Khan,https://www.voanews.com/press-freedom/redlining-news-pakistan,-26.438549088474655,2.0,1,6.0
258,World Media views on Imran Khan,https://www.theguardian.com/world/imran-khan,-27.098127569312666,4.0,2,8.523719014285831
269,World Media views on Imran Khan,https://www.news18.com/news/world/no-way-youre-treated-worse-than-i-am-trump-tells-imran-he-gets-more-flak-than-pak-pm-by-us-media-pakistan-2241621.html,-27.14262533956679,4.0,3,10.523719014285831
266,World Media views on Imran Khan,https://www.economist.com/node/21561027/comments ,-27.692671676486064,0.0,4,10.523719014285831
270,World Media views on Imran Khan,https://www.economist.com/node/21561027/comments,-27.692671676486064,0.0,5,10.523719014285831
264,World Media views on Imran Khan,https://www.aljazeera.com/indepth/features/besieged-kashmiris-hail-imran-khan-speech-190927105940765.html,-30.21840032079432,4.0,6,11.94854776271792
276,World Media views on Imran Khan,https://www.khaleejtimes.com/international/india/india-reacts-to-pakistan-pm-imran-khans-fiery-un-speech,-30.471984897609765,2.0,7,12.615214429384586
272,World Media views on Imran Khan,https://www.indiatoday.in/world/story/imran-khan-s-international-visits-harming-pakistan-says-ppp-1603657-2019-09-26,-30.842554629867312,3.0,8,13.561609059741773
274,World Media views on Imran Khan,https://economictimes.indiatimes.com/news/politics-and-nation/view-imran-khan-a-success-as-fly-that-walked-into-the-spiders-parlour/articleshow/71359547.cms?from=mdr,-31.12285659502147,4.0,9,14.765729042397698
259,World Media views on Imran Khan,https://www.nytimes.com/topic/person/imran-khan,-31.471163289289688,3.0,10,15.632923521351362
260,World Media views on Imran Khan,https://www.nytimes.com/2019/09/27/world/asia/khan-modi-united-nations.html,-32.0871208311585,1.0,11,15.911866467002492
263,World Media views on Imran Khan,https://www.youtube.com/watch?v=6b8MyKV6ibI ,-32.86988017040814,2.0,12,16.45234277585713
267,World Media views on Imran Khan,https://www.cnn.com/2019/09/27/world/modi-imran-khan-unga-intl/index.html,-34.13839149587164,4.0,13,17.502940916005905
275,World Media views on Imran Khan,https://www.scmp.com/news/china/diplomacy/article/3031269/pakistan-prime-minister-imran-khan-seeks-bolster-china-ties,-34.25617453152802,4.0,14,18.526773015245166
265,World Media views on Imran Khan,https://twitter.com/hashtag/imrankhan?lang=en,-35.86561244396212,0.0,15,18.526773015245166
262,World Media views on Imran Khan,https://www.bbc.com/news/world-asia-india-49806692 ,-37.94505398564196,3.0,16,19.260724641599843
261,World Media views on Imran Khan,https://tribune.com.pk/story/2067293/3-international-media-covered-pm-imrans-powerful-un-speech/?amp=1,-38.35051909375012,1.0,17,19.500537108167975
271,World Media views on Imran Khan,https://www.independent.co.uk/topic/imran-khan,-39.04366627431007,4.0,18,20.442172761634527
273,World Media views on Imran Khan,https://www.washingtonpost.com/opinions/global-opinions/trump-must-press-imran-khan-on-pakistans-crackdown-on-press-freedom/2019/07/21/861da362-aa34-11e9-a3a6-ab670962db05_story.html ,-39.04366627431007,4.0,19,21.367685614273565
268,World Media views on Imran Khan,https://www.independent.co.uk/topic/imran-khan ,-39.04366627431007,4.0,20,22.278366609061376
279,World Media views on Imran Khan,kashmir-as-khan-makes-diplomatic-push-idUSKBN1WB150 ,-39.04366627431007,3.0,21,22.9510980817141
