,Query,URL,score,Ranking,QL_rank,DCG,NDCG
231,Battles fought by Guru Gobind Singh,https://www.newworldencyclopedia.org/entry/Guru_Gobind_Singh,-54.215042880917245,2.0,0,2.0,0.5
230,Battles fought by Guru Gobind Singh,https://abhimanuias.com/state/Searchdetail.aspx?type=BL&id=8368,-55.12150813462375,4.0,1,6.0,0.75
222,Battles fought by Guru Gobind Singh,https://en.wikipedia.org/wiki/Guru_Gobind_Singh,-55.26225983024298,2.0,2,7.2618595071429155,0.734055817400332
237,Battles fought by Guru Gobind Singh,https://www.sikhdharma.org/sikh-history/ten-sikh-gurus/,-61.15622927265319,0.0,3,7.2618595071429155,0.6666666666666666
223,Battles fought by Guru Gobind Singh,https://en.wikipedia.org/wiki/Battle_of_Chamkaur_(1704) ,-61.5029099486928,3.0,4,8.553889181363095,0.7277340113049862
224,Battles fought by Guru Gobind Singh,https://www.quora.com/How-many-wars-did-Guru-Gobind-Singh-fight ,-63.913229646979346,1.0,5,8.940741988597637,0.7136694183059196
229,Battles fought by Guru Gobind Singh,https://scroll.in/article/880186/from-guru-hargobind-to-guru-gobind-singh-how-the-sikh-community-militarised-to-take-on-the-mughals ,-64.26097057036968,1.0,6,9.29694917570566,0.7021725792910353
235,Battles fought by Guru Gobind Singh,http://www.indiandefencereview.com/news/the-battle-of-chamkaur-an-epic-that-changed-the-course-of-indian-history/ ,-65.15626315540405,2.0,7,9.963615842372326,0.7164497510049389
226,Battles fought by Guru Gobind Singh,https://www.indiatoday.in/education-today/gk-current-affairs/story/guru-gobind-singh-304119-2016-01-16 ,-65.41619531490292,1.0,8,10.279080719158054,0.7070560300949733
239,Battles fought by Guru Gobind Singh,https://www.straight.com/news/1015036/gurpreet-singh-sikhs-must-be-vigilant-about-hindutva-attempts-appropriate-guru-gobind,-65.48910562397468,1.0,9,10.580110714822036,0.6988221582018271
232,Battles fought by Guru Gobind Singh,https://www.speakingtree.in/allslides/the-battle-of-chamkaur/288984 ,-66.21259996092392,2.0,10,11.158240367457811,0.7231999627620996
238,Battles fought by Guru Gobind Singh,https://blog.oup.com/2016/01/gurus-warrior-scripture/ ,-68.65277071687052,1.0,11,11.43718331310894,0.7281154057712216
228,Battles fought by Guru Gobind Singh,https://barficulture.tv/world/39 ,-69.27692502594353,1.0,12,11.70742146753626,0.7327137806362316
233,Battles fought by Guru Gobind Singh,https://www.learnreligions.com/all-about-guru-gobind-singh-4590153 ,-77.46561415038772,2.0,13,12.232720537610648,0.7532085742707125
225,Battles fought by Guru Gobind Singh,https://books.google.com/books/about/Battles_of_Guru_Gobind_Singh.html?id=L7PXAAAAMAAJ ,-78.15876133094766,4.0,14,13.25655263684991,0.8035846300852859
227,Battles fought by Guru Gobind Singh,http://dailysikhupdates.com/4-battles-hindu-kings-allied-mughals-took-guru-gobind-singh-ji-khalsa/ ,-78.15876133094766,2.0,15,13.75655263684991,0.8214450176140015
234,Battles fought by Guru Gobind Singh,https://www.sikh24.com/2017/08/10/5-battles-in-which-sikhs-were-greatly-outnumbered/#.Xd25sC-ZNZI,-78.15876133094766,2.0,16,14.245853721086362,0.8506626529016749
236,Battles fought by Guru Gobind Singh,https://www.bbc.co.uk/bitesize/guides/zhhf9j6/revision/5 ,-78.15876133094766,0.0,17,14.245853721086362,0.8506626529016749
