,Query,URL,score,Ranking,QL_rank,DCG,NDCG
203,Facts about Sushruta,https://haribhakt.com/sushruta-worlds-first-plastic-surgeon-was-from-india/ ,-50.0781612801772,3.0,0,3.0,0.75
219,Facts about Sushruta,http://www.jcor.in/article.asp?issn=2320-3897;year=2018;volume=6;issue=3;spage=117;epage=120;aulast=Shah,-51.046568013190374,2.0,1,5.0,0.625
218,Facts about Sushruta,https://easyayurveda.com/2016/08/21/acharya-sushruta-work-samhita-legacy/,-51.32605331843797,3.0,2,6.892789260714372,0.6967488216985058
211,Facts about Sushruta,https://www.amrutam.co.in/6-interesting-amrutam-things-about-sushruta/ ,-51.346672605640705,4.0,3,8.892789260714373,0.7805629558495634
214,Facts about Sushruta,https://www.indiatoday.in/education-today/gk-current-affairs/story/sushruta-works-indian-physician-medicine-plastic-surgery-rhinoplasty-nose-job-1559599-2019-07-01,-52.39649473013938,2.0,4,9.754142376861159,0.7689618927076538
201,Facts about Sushruta,https://www.ancient.eu/sushruta/,-52.87606781040127,2.0,5,10.527847991330242,0.7822438449834938
216,Facts about Sushruta,https://www.speakingtree.in/allslides/sushruta-first-indian-surgeon-historical-facts ,-53.146800324539285,4.0,6,11.952676739762332,0.8434639937541458
209,Facts about Sushruta,http://www.iaimhealthcare.org/acharya-sushruta-father-of-surgery/ ,-53.46001569899623,3.0,7,12.952676739762332,0.8729627338417723
213,Facts about Sushruta,https://www.ancient-origins.net/artifacts-ancient-technology/sushruta-samhita-and-plastic-surgery-ancient-india-020148,-54.14173418373255,2.0,8,13.58360649333379,0.8781443227414238
215,Facts about Sushruta,https://www.toppr.com/bytes/sushruta-worlds-first-plastic-surgeon/ ,-54.26236217152116,1.0,9,13.88463648899777,0.863977730719039
208,Facts about Sushruta,https://www.missedinhistory.com/podcasts/sushruta-father-of-plastic-surgery.htm ,-54.3705757561614,1.0,10,14.17370131531566,0.8513385454852339
217,Facts about Sushruta,http://indiasinterestingfacts.blogspot.com/2014/04/sushruta-is-father-of-surgery.html ,-55.15333509541102,2.0,11,14.731587206617919,0.8561585608059084
205,Facts about Sushruta,https://en.wikipedia.org/wiki/Sushruta,-55.2178736165486,1.0,12,15.001825361045238,0.8453119772357465
210,Facts about Sushruta,https://journals.lww.com/annalsplasticsurgery/FullText/2015/01000/Correcting_Factual_Errors_in__Sushruta___Father_of.30.aspx ,-56.42184642087453,0.0,13,15.001825361045238,0.821010739877162
202,Facts about Sushruta,https://www.britannica.com/biography/Sushruta ,-57.52045870954264,1.0,14,15.257783385855054,0.8122624485032379
204,Facts about Sushruta,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2845369/ ,-57.92592381765081,2.0,15,15.757783385855054,0.8278624102499053
207,Facts about Sushruta,http://home.iitk.ac.in/~hcverma/Article/Ancient%20India%20Medical%20Science.pdf ,-58.619070998210745,2.0,16,16.247084470091508,0.8427368745947167
212,Facts about Sushruta,https://hekint.org/2017/01/22/sushruta-the-ancient-indian-surgeon/ ,-58.619070998210745,1.0,17,16.48689693665964,0.8446690489608917
206,Facts about Sushruta,https://peoplepill.com/people/sushruta/ ,-58.619070998210745,2.0,18,16.957714763392918,0.8584370354431464
220,Facts about Sushruta,https://blog.oneworldayurveda.com/the-sushruta-samhita/ ,-58.619070998210745,2.0,19,17.420471189712437,0.8716532224714191
221,Facts about Sushruta,https://pdfs.semanticscholar.org/636b/7cba18ce404dd5cbcdee16db24d47a5f7d3e.pdf,-58.619070998210745,2.0,20,17.875811687106342,0.894436705624821
