,Query,URL,score,Ranking,QL_rank,DCG,NDCG
364,Jack Ma's  and Elon Musk's views on AI,https://www.wired.com/story/elon-musk-humanity-biological-boot-loader-ai/,-72.16260511519354,2.0,0,2.0,0.5
361,Jack Ma's  and Elon Musk's views on AI,https://marketrealist.com/2019/08/elon-musk-jack-ma-whos-right-about-ai/,-75.9832286513579,4.0,1,6.0,0.75
363,Jack Ma's  and Elon Musk's views on AI,https://www.geekwire.com/2019/billionaires-jack-ma-elon-musk-debate-good-evil-ai-conference-china/,-76.07306621495302,3.0,2,7.892789260714372,0.7499999999999999
360,Jack Ma's  and Elon Musk's views on AI,https://observer.com/2019/08/elon-musk-jack-ma-debate-ai-china-conference-tesla-boring-company/ ,-76.93857813995126,4.0,3,9.892789260714373,0.7899242429049749
374,Jack Ma's  and Elon Musk's views on AI,https://www.techspot.com/news/81700-elon-musk-jack-ma-discuss-ai-world-artificial.html,-77.65387924795999,4.0,4,11.615495493007945,0.815327023584169
370,Jack Ma's  and Elon Musk's views on AI,https://www.forbes.com/sites/daviddawkins/2019/08/29/where-are-the-aliens-jack-ma-and-elon-musks-weird-debate-on-space-ai-and-the-future-of-work/#6f4dd8e95e68 ,-77.91078966174503,3.0,5,12.77605391471157,0.8089265666715024
365,Jack Ma's  and Elon Musk's views on AI,https://interestingengineering.com/alibabas-jack-ma-and-teslas-elon-musks-interesting-ai-debate-in-shanghai,-78.23721156251273,4.0,6,14.200882663143659,0.824737717961522
362,Jack Ma's  and Elon Musk's views on AI,https://thenextweb.com/artificial-intelligence/2019/09/03/elon-musk-seemed-unhinged-debating-ai-with-jack-ma/ ,-79.92796283082183,4.0,7,15.534215996476993,0.8373338294799888
369,Jack Ma's  and Elon Musk's views on AI,https://thenextweb.com/artificial-intelligence/2019/09/03/elon-musk-seemed-unhinged-debating-ai-with-jack-ma/,-79.92796283082183,4.0,8,16.796075503619907,0.8476933391269129
372,Jack Ma's  and Elon Musk's views on AI,https://www.youtube.com/watch?v=f3lUEnMaiAU,-80.76008713783858,3.0,9,17.69916549061185,0.8420964876337965
373,Jack Ma's  and Elon Musk's views on AI,https://www.youtube.com/watch?v=Mchz9q84_BA ,-80.84012984551212,4.0,10,18.8554247958834,0.8615616245863367
377,Jack Ma's  and Elon Musk's views on AI,https://www.datacamp.com/community/news/jack-ma-vs-elon-musk-debate-different-perspectives-of-future-of-ai-aekfdnumwyk,-88.70031490298429,3.0,11,19.692253632836792,0.8666601730300418
368,Jack Ma's  and Elon Musk's views on AI,https://www.cnbc.com/2019/08/30/elon-musk-jack-ma-biggest-problem-world-will-face-is-population-drop.html ,-89.23931140371695,0.0,12,19.692253632836792,0.8368032732904235
359,Jack Ma's  and Elon Musk's views on AI,https://www.bbc.com/news/technology-49508091 ,-89.39346208354422,4.0,13,20.742851772985567,0.8528900117638156
376,Jack Ma's  and Elon Musk's views on AI,https://www.bloomberg.com/news/articles/2019-08-28/musk-to-join-china-ai-summit-despite-trump-ordering-firms-out,-89.57578364033817,4.0,14,21.766683872224828,0.8675947332357555
367,Jack Ma's  and Elon Musk's views on AI,https://www.livemint.com/companies/people/when-elon-musk-met-jack-ma-debate-on-ai-mars-the-end-of-civilisation-1567135372497.html ,-89.79892719165238,3.0,15,22.516683872224828,0.871437982731111
371,Jack Ma's  and Elon Musk's views on AI,https://www.scmp.com/tech/tech-leaders-and-founders/article/3024847/alibabas-jack-ma-sees-ai-opening-new-human-chapter ,-91.18522155277226,1.0,16,22.761334414343054,0.8645348334219807
366,Jack Ma's  and Elon Musk's views on AI,https://www.fairobserver.com/region/asia_pacific/artificial-intelligence-jack-ma-elon-musk-technology-news-34809/,-91.18522155277226,3.0,17,23.480771814047447,0.8838105740021447
375,Jack Ma's  and Elon Musk's views on AI,https://finance.yahoo.com/news/elon-musk-and-jack-ma-ai-conference-shanghai-140324097.html ,-91.18522155277226,4.0,18,24.422407467514,0.9192535123340643
