,Query,URL,score,Ranking,QL_rank,DCG,NDCG
327,Jeff Bezos portrayed by top business magazines like Forbes,https://www.newyorker.com/magazine/2019/10/21/is-amazon-unstoppable,-70.22652154399509,1.0,0,1.0,0.25
326,Jeff Bezos portrayed by top business magazines like Forbes,https://www.theatlantic.com/magazine/archive/2019/11/what-jeff-bezos-wants/598363/ ,-72.61932117164582,2.0,1,3.0,0.375
330,Jeff Bezos portrayed by top business magazines like Forbes,https://www.forbes.com/forbes/2012/0423/ceo-compensation-12-amazon-technology-jeff-bezos-gets-it.html#175549715227,-78.74375640852598,4.0,2,5.52371901428583,0.5248827916050821
323,Jeff Bezos portrayed by top business magazines like Forbes,https://www.forbes.com/sites/nathanfurrjeffdyer/2019/09/03/leading-like-jeff-bezos-or-elon-musk-lessons-from-their-contrasting-styles/,-81.19944592667449,4.0,3,7.52371901428583,0.6007575709502512
325,Jeff Bezos portrayed by top business magazines like Forbes,https://www.businessinsider.com/forbes-rich-americans-list-1982-versus-today-wealth-trends-2019-11,-83.08651557570685,4.0,4,9.246425246579403,0.6490347639173195
332,Jeff Bezos portrayed by top business magazines like Forbes,https://www.forbes.com/sites/georgeanders/2012/11/16/what-fortune-didnt-tell-you-in-its-jeff-bezos-cover-story/#4855dd5f42a4,-84.51194984516403,2.0,5,10.020130861048486,0.6344329876139307
335,Jeff Bezos portrayed by top business magazines like Forbes,https://www.nasdaq.com/press-release/most-influential-entrepreneurs-2019-compared-amazons-jeff-bezos-2019-04-21,-85.07156563309945,2.0,6,10.73254523526453,0.6233087812367999
331,Jeff Bezos portrayed by top business magazines like Forbes,https://www.forbes.com/sites/georgeanders/2012/04/04/bezos-tips/#4b586152fce4 ,-85.80108045783027,1.0,7,11.065878568597864,0.6073923875636632
334,Jeff Bezos portrayed by top business magazines like Forbes,https://www.theceomagazine.com/business/management-leadership/successful-minds-innovators-2019/,-86.61939078134422,2.0,8,11.696808322169321,0.610319425615609
337,Jeff Bezos portrayed by top business magazines like Forbes,https://www.smartcompany.com.au/finance/forbes-billionaires-jeff-bezos-kylie-jenner/,-86.90892642244532,4.0,9,12.900928304825246,0.6526458283033161
324,Jeff Bezos portrayed by top business magazines like Forbes,https://footwearnews.com/2019/influencers/news/forbes-top-100-most-innovative-leaders-one-woman-1202830351/ ,-87.60467438470533,3.0,10,13.76812278377891,0.6767242045839373
322,Jeff Bezos portrayed by top business magazines like Forbes,https://www.forbes.com/profile/jeff-bezos/,-87.9636194771786,4.0,11,14.883894566383429,0.7120412459179686
338,Jeff Bezos portrayed by top business magazines like Forbes,https://www.vox.com/the-goods/2019/4/5/18296734/jeff-bezos-divorce-mackenzie-settlement-amazon,-89.32744098244643,2.0,12,15.424370875238068,0.7192991130486279
321,Jeff Bezos portrayed by top business magazines like Forbes,https://www.forbes.com/sites/georgeanders/2012/04/04/bezos-tips/ ,-90.45137107909882,0.0,13,15.424370875238068,0.7020999373966644
320,Jeff Bezos portrayed by top business magazines like Forbes,https://www.forbes.com/forbes/2012/0423/ceo-compensation-12-amazon-technology-jeff-bezos-gets-it.html ,-92.8621697567331,2.0,14,15.936286924857699,0.7088834878622733
328,Jeff Bezos portrayed by top business magazines like Forbes,https://www.scmp.com/magazines/style/people-events/article/2163482/day-life-rich-man-jeff-bezos-who-always-offers-do,-93.13410347221674,3.0,15,16.686286924857697,0.7340818289792711
336,Jeff Bezos portrayed by top business magazines like Forbes,https://fortune.com/longform/amazon-jeff-bezos-prime/,-96.31215730256469,4.0,16,17.6648890933306,0.7688584144023324
333,Jeff Bezos portrayed by top business magazines like Forbes,"https://books.google.com/books?id=CE6XDwAAQBAJ&pg=PT56&lpg=PT56&dq=Jeff+Bezos+portrayed+by+top+business+magazines+like+Forbes&source=bl&ots=9unUMTIlVr&sig=ACfU3U17TJmxJSlsk_a1O0NMWfQ2fPEmpg&hl=en&sa=X&ved=2ahUKEwj8q6LOxInmAhUun-AKHYwKAzgQ6AEwE3oECAsQAQ#v=onepage&q=Jeff%20Bezos%20portrayed%20by%20top%20business%20magazines%20like%20Forbes&f=false, https://www.dw.com/en/jeff-bezos-amazon-ceo-knocks-microsoft-founder-bill-gates-off-forbes-list-top-spot/a-42855021",-97.69845166368457,0.0,17,17.6648890933306,0.7688584144023324
329,Jeff Bezos portrayed by top business magazines like Forbes,https://www.scmp.com/magazines/style/people-events/article/2189551/who-joins-jeff-bezos-one-worlds-7-richest-retail ,-97.69845166368457,4.0,18,18.606524746797152,0.8098427926027219
