,Query,URL,score,Ranking,QL_rank,DCG,NDCG
356,Kim Jong-un relationship with China,https://www.ncnk.org/resources/briefing-papers/all-briefing-papers/china-north-korea-relations ,-53.80538797976057,3.0,0,3.0,0.75
340,Kim Jong-un relationship with China,https://en.wikipedia.org/wiki/China%E2%80%93North_Korea_relations,-56.13287961196896,2.0,1,5.0,0.625
349,Kim Jong-un relationship with China,https://www.nytimes.com/2019/06/21/world/asia/xi-jinping-north-korea-visit.html ,-59.3782458903372,2.0,2,6.2618595071429155,0.5950234416789836
350,Kim Jong-un relationship with China,https://www.washingtonpost.com/news/worldviews/wp/2018/06/21/yes-kim-jong-un-met-president-trump-but-china-is-still-north-koreas-most-important-ally/,-60.25816897804047,3.0,3,7.7618595071429155,0.6197727287149246
341,Kim Jong-un relationship with China,https://apnews.com/98cd609254bf4ccca10d8a725174ca5a,-60.96570489605253,4.0,4,9.484565739436487,0.665750570776606
354,Kim Jong-un relationship with China,https://www.brookings.edu/blog/order-from-chaos/2019/06/24/mr-xi-goes-to-pyongyang/,-61.533404802387906,2.0,5,10.25827135390557,0.6658195773273488
352,Kim Jong-un relationship with China,https://www.bbc.com/news/world-asia-48672306,-61.79123391169,2.0,6,10.970685728121614,0.6658745202517359
357,Kim Jong-un relationship with China,https://www.npr.org/2019/06/17/733343002/chinese-president-xi-jinping-to-visit-north-korea-this-week ,-63.01215627432971,2.0,7,11.63735239478828,0.6659198489487693
342,Kim Jong-un relationship with China,https://www.theguardian.com/world/2019/oct/06/china-and-north-korea-hail-immortal-and-invincible-friendship,-63.91887755518772,4.0,8,12.899211901931196,0.7002069265001182
358,Kim Jong-un relationship with China,https://www.inkstonenews.com/politics/kim-jong-un-travels-china-second-trump-summit/article/2181198,-68.75515946213919,2.0,9,13.501271893259158,0.7096945656603398
351,Kim Jong-un relationship with China,https://www.wsj.com/articles/chinas-xi-north-koreas-kim-meet-both-seeking-leverage-with-the-u-s-11561027366 ,-69.56608967835554,2.0,10,14.079401545894934,0.7182565775661748
355,Kim Jong-un relationship with China,https://www.cnn.com/2019/06/20/asia/xi-kim-north-korea-china-intl-hnk/index.html ,-70.54691893136724,2.0,11,14.637287437197193,0.7260532091393003
348,Kim Jong-un relationship with China,https://economictimes.indiatimes.com/news/international/world-news/xi-jinping-and-kim-jong-un-hail-immortal-china-north-korea-relationship/articleshow/71462267.cms ,-71.64553122003535,4.0,12,15.718240054906472,0.7593150308068712
347,Kim Jong-un relationship with China,https://www.channelnewsasia.com/news/commentary/china-north-korea-xi-jinping-visit-kim-jong-un-dynamics-11659096 ,-71.64553122003535,2.0,13,16.24353912498086,0.7652715218725653
346,Kim Jong-un relationship with China,https://www.washingtonpost.com/world/asia_pacific/chinas-xi-to-visit-north-korea-as-both-countries-lock-horns-with-united-states/2019/06/17/4777087c-90f5-11e9-b72d-d56510fa753e_story.html ,-71.64553122003535,2.0,14,16.755455174600492,0.7707992872695508
353,Kim Jong-un relationship with China,https://www.france24.com/en/20190620-north-korea-china-kim-jong-un-xi-jinping-pyongyang-diplomacy,-71.64553122003535,2.0,15,17.255455174600492,0.7759526984584244
345,Kim Jong-un relationship with China,https://www.scmp.com/news/asia/south-asia/article/3034310/north-koreas-kim-jong-un-and-trump-still-have-special ,-71.64553122003535,4.0,16,18.234057343073395,0.8023057535126474
344,Kim Jong-un relationship with China,https://www.abc.net.au/news/2019-03-02/china-and-north-koreas-historic-and-strategic-relationship/10853502 ,-71.64553122003535,3.0,17,18.95349474277779,0.8167253676563594
343,Kim Jong-un relationship with China,https://www.cato.org/publications/commentary/chinas-xi-jinping-north-koreas-kim-jong-un-frenemies-best ,-71.64553122003535,3.0,18,19.659721482877703,0.8303120103560224
339,Kim Jong-un relationship with China,https://www.cfr.org/backgrounder/china-north-korea-relationship,-71.64553122003535,4.0,19,20.58523433551674,0.8527343237415466
