,Query,URL,score,Ranking,QL_rank,DCG,NDCG
197,Leonardo da Vinci Quotes,http://www.art-quotes.com/auth_search.php?authid=243#.Xd2zvy-ZNZI,-45.400626225112426,3.0,0,3.0,0.75
188,Leonardo da Vinci Quotes,https://en.wikiquote.org/wiki/Leonardo_da_Vinci,-46.01659494959899,1.0,1,4.0,0.5
184,Leonardo da Vinci Quotes,https://en.wikipedia.org/wiki/Leonardo_da_Vinci,-47.781184894778946,4.0,2,6.52371901428583,0.6199062332840657
198,Leonardo da Vinci Quotes,http://www.wiseoldsayings.com/authors/leonardo-da-vinci-quotes/,-49.80474498473333,4.0,3,8.523719014285831,0.680606056760201
192,Leonardo da Vinci Quotes,https://everydaypower.com/leonardo-di-vinci-quotes/,-50.13713605448406,3.0,4,9.81574868850601,0.6889973111579547
189,Leonardo da Vinci Quotes,https://wealthygorilla.com/48-leonardo-da-vinci-quotes/ ,-50.41846503166197,4.0,5,11.363159917444177,0.7194679984852637
194,Leonardo da Vinci Quotes,https://wealthygorilla.com/48-leonardo-da-vinci-quotes/,-50.41846503166197,4.0,6,12.787988665876266,0.7426817642106947
199,Leonardo da Vinci Quotes,https://www.azquotes.com/author/15101-Leonardo_da_Vinci,-51.27718529656644,3.0,7,13.787988665876266,0.743207726289063
186,Leonardo da Vinci Quotes,https://www.awakenthegreatnesswithin.com/35-inspirational-leonardo-da-vinci-quotes/,-53.67227021990736,3.0,8,14.734383296233453,0.7436402970246256
196,Leonardo da Vinci Quotes,https://www.thoughtco.com/leonardo-da-vinci-quotes-1991581,-54.84866625646307,3.0,9,15.637473283225397,0.744004644414239
181,Leonardo da Vinci Quotes,https://www.brainyquote.com/authors/leonardo-da-vinci-quotes,-55.363946230578435,4.0,10,16.793732588496947,0.7673566460816537
193,Leonardo da Vinci Quotes,https://www.geckoandfly.com/25572/leonardo-da-vinci-quotes/,-57.44338777225826,4.0,11,17.909504371101466,0.7882010076926439
195,Leonardo da Vinci Quotes,https://drawpaintacademy.com/leonardo-da-vinci-quotes/,-58.224545830140926,2.0,12,18.449980679956106,0.7840140855888548
183,Leonardo da Vinci Quotes,https://www.goodreads.com/author/quotes/13560.Leonardo_da_Vinci ,-58.32990634579875,4.0,13,19.50057882010488,0.8018111049195723
200,Leonardo da Vinci Quotes,http://www.leonardo-da-vinci.net/quotes/,-59.205375083152646,1.0,14,19.756536844914695,0.7874726078738308
187,Leonardo da Vinci Quotes,https://quotes.thefamouspeople.com/leonardo-da-vinci-2134.php ,-60.750274474449185,3.0,15,20.506536844914695,0.7936415149913435
182,Leonardo da Vinci Quotes,https://www.brainyquote.com/lists/authors/top-10-leonardo-da-vinci-quotes ,-64.03368882045494,4.0,16,21.4851390133876,0.8085481980245199
190,Leonardo da Vinci Quotes,http://www.notable-quotes.com/v/vinci_leonardo_da.html ,-65.13230110912305,3.0,17,22.204576413091992,0.8208074067218389
185,Leonardo da Vinci Quotes,https://www.leonardodavinci.net/quotes.jsp ,-65.13230110912305,4.0,18,23.146212066558544,0.8482342364463645
191,Leonardo da Vinci Quotes,https://www.goalcast.com/2018/04/03/leonardo-da-vinci-quotes/,-65.13230110912305,4.0,19,24.07172491919758,0.8747342009284388
