,Query,URL,score,Ranking,QL_rank,DCG,NDCG
52,Mohammad Ali Sting like a bee,https://www.theysayiblog.com/2012/01/float-like-a-butterfly-sting-like-a-bee.html,-58.722520686103174,0.0,0,0.0,0.0
38,Mohammad Ali Sting like a bee,https://www.theguardian.com/sport/2016/jun/04/muhammad-ali-greatest-quotes-sting-butterfly-louisville-lip,-62.80026040270853,4.0,1,4.0,0.5
41,Mohammad Ali Sting like a bee,https://www.dallasnews.com/sports/other-sports/2016/06/04/float-like-a-butterfly-sting-like-a-bee-some-of-muhammad-ali-s-greatest-quotes/,-65.00489928648398,4.0,2,6.52371901428583,0.6199062332840657
46,Mohammad Ali Sting like a bee,https://www.nbcsports.com/philadelphia/boxing/greatest-poet-look-muhammad-alis-verse,-65.51108453069347,4.0,3,8.523719014285831,0.680606056760201
48,Mohammad Ali Sting like a bee,https://www.independent.ie/sport/other-sports/boxing/float-like-a-butterfly-sting-like-a-bee-some-of-muhammad-alis-best-quotes-34772170.html,-65.52090626899196,4.0,4,10.246425246579403,0.7192278111338556
39,Mohammad Ali Sting like a bee,https://abcnews.go.com/Sports/muhammad-alis-memorable-quotes-float-butterfly-sting-bee/story?id=39574573,-65.71872389547171,4.0,5,11.793836475517569,0.7467366458934469
42,Mohammad Ali Sting like a bee,https://www.telegraph.co.uk/news/2016/06/06/thousands-of-bees-swarm-to-muhammad-ali-sting-like-a-bee-memoria/,-65.78878571414756,0.0,6,11.793836475517569,0.6849448736080527
43,Mohammad Ali Sting like a bee,https://wqad.com/2016/06/04/float-like-a-butterfly-sting-like-a-bee-best-quotes-from-muhammad-ali/,-66.13969319011584,4.0,7,13.127169808850903,0.7075879058699877
47,Mohammad Ali Sting like a bee,https://patch.com/florida/miami/float-butterfly-sting-bee-drive-along-legend-muhammad-ali,-68.79141721016182,0.0,8,13.127169808850903,0.6732436710309071
50,Mohammad Ali Sting like a bee,https://www.usatoday.com/story/sports/boxing/2016/06/03/muhammad-ali-best-quotes-boxing/85370850/,-69.44600135598746,4.0,9,14.331289791506828,0.7129834170357013
51,Mohammad Ali Sting like a bee,https://www.icanvas.com/canvas-print/float-like-a-butterfly-sting-bee-10021#1PC6-40x26,-69.8303102641283,0.0,10,14.331289791506828,0.702875359181684
53,Mohammad Ali Sting like a bee,https://www.cnn.com/2016/06/04/sport/best-quotes-muhammad-ali/index.html,-70.6632193870634,4.0,11,15.447061574111348,0.7575981722621724
49,Mohammad Ali Sting like a bee,https://www.redbubble.com/people/fares-junior/works/31438502-float-like-a-butterfly-sting-like-a-bee-muhammad-ali-black?p=poster,-71.1740450108294,0.0,12,15.447061574111348,0.7575981722621724
45,Mohammad Ali Sting like a bee,https://www.urbandictionary.com/define.php?term=Float%20like%20a%20butterfly%2C%20sting%20like%20a%20bee,-72.40618869212203,2.0,13,15.972360644185736,0.7833613644052237
40,Mohammad Ali Sting like a bee,https://www.independent.co.uk/news/people/muhammad-ali-dead-float-like-a-butterfly-sting-like-a-bee-and-the-boxing-champions-other-famous-a7065356.html,-78.15876133094766,3.0,14,16.74023471861518,0.8210216011126521
44,Mohammad Ali Sting like a bee,https://www.huffpost.com/entry/i-float-like-a-butterfly-_b_10294146,-78.15876133094766,1.0,15,16.99023471861518,0.8332828031643723
