,Query,URL,score,Ranking,QL_rank,DCG,NDCG
246,Narendra Modi's view on Indian Economy,https://www.business-standard.com/article/economy-policy/economy-is-down-to-do-list-is-long-can-modi-shed-hindutva-and-deliver-119103000129_1.html,-63.139341970705544,3.0,0,3.0,0.75
254,Narendra Modi's view on Indian Economy,https://www.indiatoday.in/news-analysis/story/narendra-modi-government-nirmala-sitharaman-must-acknowledge-economic-slowdown-1594747-2019-09-03,-64.49193641337959,4.0,1,7.0,0.875
257,Narendra Modi's view on Indian Economy,https://www.dw.com/en/how-has-indias-economy-fared-under-pm-narendra-modi/a-48251747,-64.93920953872725,4.0,2,9.523719014285831,0.9049765583210164
244,Narendra Modi's view on Indian Economy,https://foreignpolicy.com/2019/09/21/everyone-thinks-the-economy-is-issue-no-1-for-indias-modi-its-not/ ,-67.8300060430072,3.0,3,11.023719014285831,0.8802272712850754
249,Narendra Modi's view on Indian Economy,https://asia.nikkei.com/Opinion/Indian-economy-will-struggle-through-Narendra-Modi-s-second-term,-69.68239013405169,3.0,4,12.31574868850601,0.864479929199295
243,Narendra Modi's view on Indian Economy,https://m.economictimes.com/news/economy/finance/a-45-billion-bet-on-narendra-modis-india-is-rapidly-unwinding/articleshow/71160327.cms,-69.99027491382098,3.0,5,13.476307110209635,0.8532636849254204
245,Narendra Modi's view on Indian Economy,https://qz.com/india/1716106/in-us-narendra-modi-may-have-overstated-indian-economic-climate/ ,-70.15239376329743,4.0,6,14.901135858641725,0.8836870535769605
251,Narendra Modi's view on Indian Economy,https://www.washingtonpost.com/opinions/2019/10/25/why-modi-wont-be-able-ignore-indias-economic-slowdown-long/,-70.95535580986459,2.0,7,15.567802525308391,0.8715375282169745
253,Narendra Modi's view on Indian Economy,https://economictimes.indiatimes.com/news/economy/policy/view-modi-gets-real-on-the-economy/articleshow/70852724.cms,-71.31714585447007,4.0,8,16.829662032451306,0.8947734521734506
255,Narendra Modi's view on Indian Economy,https://www.business-standard.com/article/economy-policy/economy-is-down-to-do-list-is-long-can-modi-shed-hindutva-and-deliver-119103000129_1.html ,-71.57951011893756,2.0,9,17.43172202377927,0.8843228863631701
247,Narendra Modi's view on Indian Economy,https://carnegieendowment.org/2019/11/04/strange-triumph-of-narendra-modi-can-india-s-prime-minister-succeed-even-as-economy-plummets-pub-80259,-71.93618506287629,1.0,10,17.720786850097156,0.8611044639746502
241,Narendra Modi's view on Indian Economy,https://www.ft.com/content/798795ce-f4f6-11e9-b018-3ef8794b17c6,-71.97255270704717,0.0,11,17.720786850097156,0.8383766639985972
248,Narendra Modi's view on Indian Economy,https://www.washingtonpost.com/opinions/2019/11/13/narendra-modi-is-indias-trump/,-72.45497885629146,0.0,12,17.720786850097156,0.8174737582795905
240,Narendra Modi's view on Indian Economy,https://www.economist.com/leaders/2019/10/24/narendra-modi-is-damaging-indias-economy-as-well-as-its-democracy ,-72.67812240760567,4.0,13,18.77138499024593,0.8454513097498524
242,Narendra Modi's view on Indian Economy,https://www.foreignaffairs.com/articles/india/2019-11-04/strange-triumph-narendra-modi ,-73.37126958816562,1.0,14,19.027343015055745,0.8472126707414933
256,Narendra Modi's view on Indian Economy,https://www.cnbc.com/2019/11/08/billionaire-investor-ray-dalio-says-hes-impressed-by-indian-pm-modi.html ,-77.06014904227955,2.0,15,19.527343015055745,0.8599036709389732
250,Narendra Modi's view on Indian Economy,https://www.livemint.com/news/india/pm-narendra-modi-brings-india-s-economy-into-focus-amid-privatisation-push-11574329596101.html ,-78.15876133094766,4.0,16,20.50594518352865,0.9029972754508561
252,Narendra Modi's view on Indian Economy,https://economictimes.indiatimes.com/news/economy/finance/a-45-billion-bet-on-narendra-modis-india-is-rapidly-unwinding/articleshow/71160327.cms ,-78.15876133094766,3.0,17,21.225382583233042,0.9346783321383745
