,Query,URL,score,Ranking,QL_rank,DCG,NDCG
304,Warren Buffet views and media interactions in regard to start-ups,https://en.wikipedia.org/wiki/Warren_Buffett ,-72.5626884636007,0.0,0,0.0,0.0
315,Warren Buffet views and media interactions in regard to start-ups,https://betterthisworld.com/quotes/9-warren-buffett-quotes-for-start-ups/,-81.0342053343879,4.0,1,4.0,0.5
300,Warren Buffet views and media interactions in regard to start-ups,https://press.farm/warren-buffett-definitive-guide-pr-marketing-founders-entrepreneurs/,-82.00375425636375,2.0,2,5.2618595071429155,0.531888365199336
302,Warren Buffet views and media interactions in regard to start-ups,https://postcron.com/en/blog/lessons-from-warren-buffett-to-achieve-success-in-digital-marketing/,-85.18136315195864,2.0,3,6.2618595071429155,0.5496335764531005
316,Warren Buffet views and media interactions in regard to start-ups,https://starbiz.co/warren-buffett-how-to-stay-out-of-debt-forever/,-85.24310970640566,1.0,4,6.692536065216308,0.527602017777705
311,Warren Buffet views and media interactions in regard to start-ups,https://medium.com/accelerated-intelligence/warren-buffett-really-successful-people-say-no-to-almost-everything-ab78832ffebc,-86.4859187376618,0.0,5,6.692536065216308,0.4972711563328733
318,Warren Buffet views and media interactions in regard to start-ups,https://www.fool.com/investing/2019/11/17/3-stocks-warren-buffett-would-love.aspx,-88.72200680073072,1.0,6,7.04874325232433,0.49740834325209776
313,Warren Buffet views and media interactions in regard to start-ups,https://www.gsb.stanford.edu/insights/what-it-be-owned-warren-buffett,-91.68648653078063,1.0,7,7.382076585657663,0.4975247886687625
309,Warren Buffet views and media interactions in regard to start-ups,https://www.gsb.stanford.edu/insights/what-it-be-owned-warren-buffett ,-91.68648653078063,1.0,8,7.697541462443392,0.49762574744996185
306,Warren Buffet views and media interactions in regard to start-ups,https://www.inc.com/scott-mautz/warren-buffett-bill-gates-just-worked-a-dairy-queen-shift-together-a-lesson-in-thinking-different-followed.html,-92.23880301623444,2.0,9,8.299601453771354,0.5164464215958318
319,Warren Buffet views and media interactions in regard to start-ups,https://www.youtube.com/watch?v=uddpWu5-1Uk,-93.9311285884743,2.0,10,8.87773110640713,0.5426598730514924
314,Warren Buffet views and media interactions in regard to start-ups,https://economictimes.indiatimes.com/markets/stocks/news/two-buffet-disciples-tell-you-how-to-make-it-big-on-d-street/articleshow/66649973.cms?from=mdr ,-95.6354652427312,3.0,11,9.714559943360518,0.5838567024405522
307,Warren Buffet views and media interactions in regard to start-ups,https://m.economictimes.com/markets/stocks/news/two-buffet-disciples-tell-you-how-to-make-it-big-on-d-street/articleshow/66649973.cms,-95.6354652427312,3.0,12,10.525274406642477,0.622471655142717
312,Warren Buffet views and media interactions in regard to start-ups,https://economictimes.indiatimes.com/markets/stocks/news/buffett-speak-the-right-culture-self-selects-its-managers/articleshow/58551280.cms?from=mdr ,-96.08015106399264,2.0,13,11.050573476716865,0.6435418804110177
310,Warren Buffet views and media interactions in regard to start-ups,https://www.cnbc.com/2017/05/16/why-warren-buffett-is-betting-on-this-software-start-up.html ,-96.91866409482411,4.0,14,12.074405575956128,0.6928383895816821
308,Warren Buffet views and media interactions in regard to start-ups,https://www.wsj.com/articles/excessive-self-promotion-justin-sun-apologizes-after-postponing-charity-lunch-with-warren-buffett-11564043243 ,-99.93501565558083,1.0,15,12.324405575956128,0.697182364969776
303,Warren Buffet views and media interactions in regard to start-ups,https://www.businessinsider.com/howard-marks-warren-buffett-quote-on-media-fake-news-economists-2017,-101.72677512480888,1.0,16,12.569056118074354,0.7110220623486
305,Warren Buffet views and media interactions in regard to start-ups,http://buffettfaq.com/ ,-103.11306948592876,0.0,17,12.569056118074354,0.7110220623486
301,Warren Buffet views and media interactions in regard to start-ups,https://andrewchen.co/warren-buffetts-bio-the-snowball-and-lessons-for-startups/ ,-104.21168177459687,3.0,18,13.275282858174268,0.7509727784974034
317,Warren Buffet views and media interactions in regard to start-ups,https://www.theguardian.com/sustainable-business/2016/mar/07/warren-buffett-climate-change-insurance-policy-berkshire-hathaway-shareholder-letter ,-104.21168177459687,0.0,19,13.275282858174268,0.7509727784974034
