,Query,URL,score,Ranking,QL_rank,DCG,NDCG
278,World Media views on Imran Khan,https://www.vanityfair.com/news/2019/09/the-once-and-future-imran-khan,-57.27923376400922,4.0,0,4.0,1.0
277,World Media views on Imran Khan,https://www.voanews.com/press-freedom/redlining-news-pakistan,-58.792071376308215,2.0,1,6.0,0.75
276,World Media views on Imran Khan,https://www.khaleejtimes.com/international/india/india-reacts-to-pakistan-pm-imran-khans-fiery-un-speech,-63.89059678207278,2.0,2,7.2618595071429155,0.6900468833579672
269,World Media views on Imran Khan,https://www.news18.com/news/world/no-way-youre-treated-worse-than-i-am-trump-tells-imran-he-gets-more-flak-than-pak-pm-by-us-media-pakistan-2241621.html,-64.0370315795332,4.0,3,9.261859507142916,0.7395454574298492
264,World Media views on Imran Khan,https://www.aljazeera.com/indepth/features/besieged-kashmiris-hail-imran-khan-speech-190927105940765.html,-64.57132144263417,4.0,4,10.984565739436487,0.7710401416014101
266,World Media views on Imran Khan,https://www.economist.com/node/21561027/comments ,-64.72832519144383,0.0,5,10.984565739436487,0.6954969906434034
270,World Media views on Imran Khan,https://www.economist.com/node/21561027/comments,-64.72832519144383,0.0,6,10.984565739436487,0.6379452528154109
258,World Media views on Imran Khan,https://www.theguardian.com/world/imran-khan,-65.11461033728216,4.0,7,12.317899072769821,0.6639661508562463
260,World Media views on Imran Khan,https://www.nytimes.com/2019/09/27/world/asia/khan-modi-united-nations.html,-66.35018562387648,1.0,8,12.63336394955555,0.6376024249531533
272,World Media views on Imran Khan,https://www.indiatoday.in/world/story/imran-khan-s-international-visits-harming-pakistan-says-ppp-1603657-2019-09-26,-66.86660723314661,3.0,9,13.536453936547494,0.6440416821363517
263,World Media views on Imran Khan,https://www.youtube.com/watch?v=6b8MyKV6ibI ,-68.68913836104142,2.0,10,14.114583589183269,0.6449381914806468
274,World Media views on Imran Khan,https://economictimes.indiatimes.com/news/politics-and-nation/view-imran-khan-a-success-as-fly-that-walked-into-the-spiders-parlour/articleshow/71359547.cms?from=mdr,-69.28529327561404,4.0,11,15.230355371787788,0.67029110369635
259,World Media views on Imran Khan,https://www.nytimes.com/topic/person/imran-khan,-69.28697536179702,3.0,12,16.041069835069745,0.6816497489491729
267,World Media views on Imran Khan,https://www.cnn.com/2019/09/27/world/modi-imran-khan-unga-intl/index.html,-73.25348655250923,4.0,13,17.09166797521852,0.7027632005466146
275,World Media views on Imran Khan,https://www.scmp.com/news/china/diplomacy/article/3031269/pakistan-prime-minister-imran-khan-seeks-bolster-china-ties,-73.37126958816562,4.0,14,18.11550007445778,0.7295053403055266
265,World Media views on Imran Khan,https://twitter.com/hashtag/imrankhan?lang=en,-74.06441676872556,0.0,15,18.11550007445778,0.7151067806946608
262,World Media views on Imran Khan,https://www.bbc.com/news/world-asia-india-49806692 ,-77.06014904227955,3.0,16,18.84945170081246,0.7299797907131464
261,World Media views on Imran Khan,https://tribune.com.pk/story/2067293/3-international-media-covered-pm-imrans-powerful-un-speech/?amp=1,-77.46561415038772,1.0,17,19.08926416738059,0.7324644416469382
268,World Media views on Imran Khan,https://www.independent.co.uk/topic/imran-khan ,-78.15876133094766,4.0,18,20.030899820847143,0.7617150779920315
271,World Media views on Imran Khan,https://www.independent.co.uk/topic/imran-khan,-78.15876133094766,4.0,19,20.95641267348618,0.7969095575728673
273,World Media views on Imran Khan,https://www.washingtonpost.com/opinions/global-opinions/trump-must-press-imran-khan-on-pakistans-crackdown-on-press-freedom/2019/07/21/861da362-aa34-11e9-a3a6-ab670962db05_story.html ,-78.15876133094766,4.0,20,21.86709366827399,0.8315400260577983
279,World Media views on Imran Khan,kashmir-as-khan-makes-diplomatic-push-idUSKBN1WB150 ,-78.15876133094766,3.0,21,22.539825140926716,0.8571219874645473
