,Query,URL,score,Ranking,QL_rank,DCG,NDCG
519,elon musk interview with nyt,https://www.nytimes.com/2018/08/16/business/elon-musk-interview-tesla.html,-52.70867496452102,4.0,0,4.0,1.0
524,elon musk interview with nyt,https://www.nytimes.com/2018/08/18/business/elon-musk-tesla-timeline.html,-54.18674963921137,4.0,1,8.0,1.0
521,elon musk interview with nyt,https://www.nytimes.com/2018/08/28/business/elon-musk-tesla.html,-56.465895225722264,4.0,2,10.523719014285831,1.0
529,elon musk interview with nyt,https://www.autonews.com/article/20180817/COPY01/308179971/report-musk-says-nobody-reviewed-tweet-spacex-could-help-take-tesla-private,-56.46965968297772,2.0,3,11.523719014285831,0.9201515141900503
525,elon musk interview with nyt,https://www.businessinsider.com/elon-musk-says-he-didnt-cry-during-new-york-times-interview-2018-8,-57.69899239966469,3.0,4,12.81574868850601,0.899576452807563
522,elon musk interview with nyt,https://www.nytimes.com/2018/08/17/business/tesla-elon-musk-interview-takeaways.html,-57.86757300772372,3.0,5,13.976307110209635,0.8849216041887396
520,elon musk interview with nyt,https://www.nytimes.com/2018/08/19/insider/elon-musk-interview.html,-57.92741300807975,3.0,6,15.044928671533702,0.8922144469485446
534,elon musk interview with nyt,https://www.reuters.com/article/us-tesla-musk/musks-spacex-could-help-fund-take-private-deal-for-tesla-nyt-idUSKBN1L20EB,-58.69774982733081,3.0,7,16.044928671533704,0.8982486418409354
536,elon musk interview with nyt,https://bigthink.com/technology-innovation/elon-musk-interview-1999,-59.11896329240713,0.0,8,16.044928671533704,0.8530519620431081
523,elon musk interview with nyt,https://www.nytimes.com/2019/11/22/business/dealbook/tesla-pickup-elon-musk.html,-59.60811394053535,3.0,9,16.948018658525648,0.8597842919821244
527,elon musk interview with nyt,https://www.reuters.com/article/us-tesla-musk-ubs/tesla-stock-sinks-after-musk-gives-tearful-nyt-interview-idUSKBN1L21EP,-60.12463758541597,3.0,10,17.81521313747931,0.8656929113313703
528,elon musk interview with nyt,https://www.forbes.com/sites/noahkirsch/2018/08/17/elon-musks-net-worth-drops-1-billion-in-a-day-following-new-york-times-interview/#39b4d46d4a88,-60.53010269352414,3.0,11,18.652041974432702,0.8709409606120841
537,elon musk interview with nyt,https://www.nbcnews.com/business/autos/elon-musk-recounts-his-excruciating-year-admits-taking-sleeping-pills-n901611,-60.952132818506996,4.0,12,19.73299459214198,0.8878066453192529
526,elon musk interview with nyt,https://www.axios.com/elon-musk-new-york-times-tesla-interview-0ddbb234-8041-47ce-ae38-4df255d26350.html,-62.28126876578692,3.0,13,20.520943197253562,0.8916477933636395
535,elon musk interview with nyt,https://www.theverge.com/2018/11/30/18119832/tesla-elon-musk-discrimination-harassment-racism,-63.96766771935715,1.0,14,20.776901222063376,0.8736212972794897
532,elon musk interview with nyt,https://finance.yahoo.com/video/elon-musk-opens-life-emotional-172403917.html,-64.96091949236744,4.0,15,21.776901222063376,0.8968145137589134
538,elon musk interview with nyt,https://threadreaderapp.com/thread/1030496721149685760.html,-68.17979531723564,2.0,16,22.266202306299828,0.8988526685050673
530,elon musk interview with nyt,https://www.bloomberg.com/opinion/articles/2018-08-17/elon-musk-tesla-interview-even-he-seems-to-want-the-board-to-act,-71.64553122003535,3.0,17,22.98563970600422,0.9102708439748826
531,elon musk interview with nyt,https://techcastdaily.com/2018/08/17/elon-musks-new-york-times-interview-08-17-18/,-71.64553122003535,4.0,18,23.927275359470773,0.9388090950506381
533,elon musk interview with nyt,https://www.barstoolsports.com/iowa/elon-musk-claims-he-didnt-crying-during-his-nyt-interview-even-though-he-definitely-cried,-71.64553122003535,2.0,19,24.390031785790292,0.9569657775518883
