,Query,URL,score,Ranking,QL_rank,DCG,NDCG
447,elon musk latest,https://www.cbinsights.com/research/report/elon-musk-companies-disruption/,-49.09889574914166,4.0,0,4.0,1.0
451,elon musk latest,https://www.9news.com.au/elon-musk,-50.10187780679452,3.0,1,7.0,0.875
452,elon musk latest,https://www.vox.com/elon-musk,-50.31705318845955,2.0,2,8.261859507142916,0.7850703250369506
435,elon musk latest,https://www.cnbc.com/elon-musk/,-50.38636498834978,2.0,3,9.261859507142916,0.7395454574298492
438,elon musk latest,https://twitter.com/elonmusk?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,-50.56011098044134,4.0,4,10.984565739436487,0.7950756768306794
445,elon musk latest,https://www.foxbusiness.com/markets/tesla-ceo-elon-musk-fires-back-at-hedge-fund-manager-who-accused-him-of-orchestrating-significant-fraud,-50.904839853361665,4.0,5,12.531976968374654,0.8367868578116541
450,elon musk latest,https://metro.co.uk/tag/elon-musk/,-50.91922859081377,2.0,6,13.244391342590697,0.8254565422960333
444,elon musk latest,http://www.hurriyetdailynews.com/search/elon%20musk,-51.0102003690195,2.0,7,13.911058009257363,0.8324195103898088
440,elon musk latest,https://www.mercurynews.com/2019/11/25/teslas-elon-musk-explains-windowgate-shattering-of-cybertruck-windows/,-51.369145461492764,3.0,8,14.85745263961455,0.8567064231415572
443,elon musk latest,https://www.cnet.com/tags/elon-musk/,-51.509191535138484,3.0,9,15.760542626606494,0.8782896095741869
446,elon musk latest,https://mashable.com/article/elon-musk-tesla-earnings-full-self-driving/,-52.38074637317125,2.0,10,16.33867227924227,0.8820884256086037
439,elon musk latest,https://www.youtube.com/watch?v=jeplhWnwyMI,-52.50982341544639,2.0,11,16.89655817054453,0.8855359692714054
436,elon musk latest,https://www.politico.com/news/elon-musk,-53.13843207486876,2.0,12,17.43703447939917,0.8886889611804095
441,elon musk latest,https://www.nytimes.com/2019/11/01/business/elon-musk-twitter.html ,-53.225443451858396,2.0,13,17.962333549473556,0.8915912988099478
437,elon musk latest,https://www.wired.com/tag/elon-musk/,-53.28153291850944,2.0,14,18.474249599093188,0.8942776851727836
449,elon musk latest,https://www.amazon.com/Elon-Musk-SpaceX-Fantastic-Future/dp/006230125X,-53.93693977108653,1.0,15,18.724249599093188,0.8849603526551837
442,elon musk latest,https://www.popularmechanics.com/elon-musk-latest-news/,-54.707047992782606,2.0,16,19.21355068332964,0.8875605966551713
448,elon musk latest,https://www.tesla.com/elon-musk,-55.28686648803554,2.0,17,19.693175616465904,0.8899978095543857
433,elon musk latest,https://www.cnbc.com/2019/11/25/elon-musk-tweets-on-cybertruck-orders-say-little-about-actual-sales.html ,-57.52045870954264,4.0,18,20.634811269932456,0.9131241034187958
434,elon musk latest,https://www.independent.co.uk/topic/elon-musk ,-58.619070998210745,2.0,19,21.097567696251975,0.9241396906622633
