,Query,URL,score,Ranking,QL_rank,DCG,NDCG
490,elon musk on clean energy,https://news.energysage.com/tesla-energy-has-elon-musk-invented-the-first-clean-power-utility/,-57.18837100727882,3.0,0,3.0,0.75
492,elon musk on clean energy,https://inhabitat.com/elon-musk-has-a-simple-plan-to-power-the-us-entirely-on-renewable-energy/,-59.14095526342183,4.0,1,7.0,0.875
501,elon musk on clean energy,https://electrek.co/2019/10/24/tesla-energy-distributed-global-utility-outgrow-auto-business-elon-musk/,-60.75324624483834,4.0,2,9.523719014285831,0.9049765583210164
489,elon musk on clean energy,https://futurism.com/elon-musk-says-we-must-switch-to-renewables-or-plunge-into-the-dark-ages,-61.040928317290124,4.0,3,11.523719014285831,0.9201515141900503
498,elon musk on clean energy,https://www.theguardian.com/sustainable-business/2017/mar/20/elon-musk-port-augusta-four-renewable-energy-projects,-61.60228172512407,2.0,4,12.385072130432617,0.869345952831662
491,elon musk on clean energy,https://www.inverse.com/article/58024-tesla-how-elon-musk-s-terawatt-hour-plan-may-spark-shift-to-clean-energy,-61.6932535033298,4.0,5,13.932483359370783,0.8821468666569952
496,elon musk on clean energy,http://www.itechpost.com/articles/101819/20191021/elon-musk-returns-to-twitter-tesla-now-offers-powerwall-to-promote-clean-energy.htm,-61.77044314202094,2.0,6,14.644897733586827,0.8684912781748774
488,elon musk on clean energy,https://www.raycap.com/elon-musk-calls-green-energy-technology-awareness/,-62.13954060595823,4.0,7,15.978231066920161,0.8945146873943538
499,elon musk on clean energy,https://www.aps.org/careers/physicists/profiles/musk.cfm,-62.8814779506876,2.0,8,16.609160820491617,0.8981134775696287
494,elon musk on clean energy,https://twitter.com/elonmusk/status/945728690507231232?lang=en,-63.34351341028416,3.0,9,17.51225080748356,0.9170903457015896
502,elon musk on clean energy,https://www.cleanenergywire.org/news/thank-you-elon-musk-showing-german-car-managers-ropes-commentary,-63.679985646905365,0.0,10,17.51225080748356,0.8901406399470257
495,elon musk on clean energy,https://www.fool.com/investing/2019/05/26/why-tesla-should-abandon-solar-energy-right-now.aspx,-63.96766771935715,1.0,11,17.791193753134692,0.8793824483547341
487,elon musk on clean energy,https://thebossmagazine.com/elon-musk-renewable-energy/,-71.64553122003535,4.0,12,18.87214637084397,0.9085404012761851
493,elon musk on clean energy,https://www.renewableenergyworld.com/2017/05/12/what-elon-musk-can-teach-us-about-investing-in-clean-energy-stocks/#gref,-71.64553122003535,2.0,13,19.397445440918357,0.9221689705724846
497,elon musk on clean energy,https://www.independent.co.uk/news/world/australasia/elon-musk-tesla-batteries-australia-homes-virtual-power-plants-free-solar-panels-a8196656.html,-71.64553122003535,2.0,14,19.90936149053799,0.9351268104463143
500,elon musk on clean energy,https://www.huffpost.com/entry/elon-musk-tesla-puerto-rico-renewable-energy_n_5ca51e99e4b082d775dfec35,-71.64553122003535,1.0,15,20.15936149053799,0.9468691108070106
