,Query,URL,score,Ranking,QL_rank,DCG,NDCG
485,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://en.wikipedia.org/wiki/Criticism_of_Facebook,-94.21326613570784,0.0,0,0.0,0.0
481,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://www.popehat.com/2018/09/17/cave-diver-vernon-unsworth-sues-elon-musk/,-97.48193561611568,3.0,1,3.0,0.375
473,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://www.goodreads.com/book/show/25541028-elon-musk,-117.21671999434683,3.0,2,4.892789260714372,0.46492967496304927
480,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://medium.com/accelerated-intelligence/the-one-trait-that-elon-musk-ben-franklin-and-marie-curie-have-in-common-33114edfe279,-123.16387621077521,1.0,3,5.392789260714372,0.4306060567602009
484,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://www.theguardian.com/commentisfree/2019/may/26/elon-musk-may-be-a-pain-but-that-doesnt-mean-his-ideas-are-crazy,-126.3719146768819,4.0,4,7.115495493007945,0.4994583111097565
477,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://www.cnbc.com/2018/03/13/elon-musk-at-sxsw-a-i-is-more-dangerous-than-nuclear-weapons.html,-126.51692152817229,4.0,5,8.662906721946111,0.5622714288832317
476,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://www.cnbc.com/2019/11/23/elon-musk-says-tesla-has-received-146000-orders-for-its-cybertruck.html,-128.40570400980425,4.0,6,10.0877354703782,0.6122831501358309
474,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://apnews.com/b27a4b5d80a242f29d940ce563c13326/Elon-Musk's-social-media-conduct-may-be-bad-for-his-business,-129.1357321389155,2.0,7,10.754402137044867,0.6153951176938242
475,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://www.theguardian.com/environment/2016/may/05/elon-musk-we-need-a-revolt-against-the-fossil-fuel-industry,-131.20496097912618,4.0,8,12.016261644187782,0.6522778056416227
482,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://www.amazon.com/Elon-Musk-SpaceX-Fantastic-Future/dp/006230125X,-134.39936394747565,3.0,9,12.919351631179726,0.6791059180936164
486,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.","http://v1x0r.com/downloads/Books/Elon_Musk/Ashlee%20Vance%20-%20Elon%20Musk%3B%20Tesla,%20SpaceX,%20and%20the%20Quest%20for%20a%20Fantastic%20Future.pdf",-149.11114537042306,4.0,10,14.075610936451277,0.7180632007271794
478,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://knowledge.wharton.upenn.edu/article/elon-musk-sec-twitter/,-149.804292550983,3.0,11,14.912439773404666,0.7500799972649614
479,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://waitbutwhy.com/2017/04/neuralink.html ,-149.804292550983,2.0,12,15.452916082259305,0.7772653857344236
483,"quotes and opinions of elon musk, as attributed to them in news articles, social media, books, etc.",https://seo.co/services/writing/,-149.804292550983,0.0,13,15.452916082259305,0.7772653857344236
