,Query,URL,score,Ranking,QL_rank,DCG,NDCG
385,quotes by Elon Musk,https://www.yourselfquotes.com/elon-musk-quotes/,-48.18153984313615,4.0,0,4.0,1.0
390,quotes by Elon Musk,https://www.yourselfquotes.com/elon-musk-quotes/,-48.18153984313615,3.0,1,7.0,0.875
382,quotes by Elon Musk,https://quotefancy.com/elon-musk-quotes,-50.20963882747322,3.0,2,8.892789260714373,0.8450234416789836
393,quotes by Elon Musk,https://en.wikiquote.org/wiki/Elon_Musk,-50.52750489756046,4.0,3,10.892789260714373,0.8697727287149246
387,quotes by Elon Musk,https://www.amazon.com/Elon-Musk-Entrepreneur-Inspirational-Extraordinary-ebook/dp/B075X3SKZK,-54.500299232189704,2.0,4,11.754142376861159,0.8250590708489033
379,quotes by Elon Musk,https://www.toolshero.com/toolsheroes/elon-musk/,-55.69657969089248,4.0,5,13.301553605799326,0.842199020258213
381,quotes by Elon Musk,https://www.azquotes.com/author/10617-Elon_Musk/tag/artificial-intelligence,-56.209642809598655,4.0,6,14.726382354231415,0.8552569065428083
392,quotes by Elon Musk,https://startupmindset.com/25-inspiring-quotes-from-elon-musk/,-56.72046843336466,4.0,7,16.059715687564747,0.8656596020087635
386,quotes by Elon Musk,https://www.brainyquote.com/authors/elon-musk-quotes,-57.325604736601875,4.0,8,17.321575194707663,0.8742151648803358
391,quotes by Elon Musk,https://www.geckoandfly.com/20892/elon-musk-quotes/,-57.47691046429691,4.0,9,18.525695177363588,0.8814213782060604
380,quotes by Elon Musk,https://www.businessinsider.com/best-elon-musk-quotes-tesla-2013-11,-57.6367591652388,4.0,10,19.68195448263514,0.8876045732660234
388,quotes by Elon Musk,https://www.youthkiawaaz.com/2019/08/some-quotes-by-elon-musk-that-will-motivate-you-to-follow-your-dreams/,-58.26536782466118,3.0,11,20.51878331958853,0.8810122486723371
389,quotes by Elon Musk,https://www.goodreads.com/author/quotes/7221234.Elon_Musk,-58.370728340319005,4.0,12,21.599735937297808,0.8862898459447919
378,quotes by Elon Musk,https://www.inc.com/peter-economy/11-elon-musk-quotes-that-will-push-you-to-achieve-impossible.html,-58.48851137597539,4.0,13,22.650334077446583,0.8909891514504383
384,quotes by Elon Musk,https://elonmusknews.org/blog/elon-musk-spacex-mars-quotes ,-59.1016158488618,4.0,14,23.674166176685844,0.9039586806761326
394,quotes by Elon Musk,https://blog.runrun.it/en/inspiring-quotes-elon-musk/,-60.413802237827966,2.0,15,24.174166176685844,0.8973524167611786
395,quotes by Elon Musk,https://in.pinterest.com/natla_ml/elon-musk/,-61.22027810369491,4.0,16,25.152768345158748,0.908915472596737
383,quotes by Elon Musk,https://www.fool.com/investing/2016/09/10/8-perfectly-genius-elon-musk-quotes.aspx ,-65.13230110912305,4.0,17,26.112018211431273,0.9275035856869808
396,quotes by Elon Musk,https://www.success.com/11-elon-musk-quotes-that-will-inspire-you-to-dream-bigger/,-65.13230110912305,4.0,18,27.053653864897825,0.9451444974731528
